x beta x y z
0 0 0 0 0
0.1 0.0720253053 0.0999567808 0.0025453784 4.32191598820836E-05
0.2 0.1440506106 0.1996545157 0.0101683149 0.0003454843
0.3 0.2160759159 0.2988355017 0.0228292814 0.0011644983
0.4 0.2881012212 0.3972447159 0.0404626258 0.0027552841
0.5 0.3601265265 0.4946311367 0.062976912 0.0053688633
0.6 0.4321518318 0.5907490468 0.0902553945 0.0092509532
0.7 0.504177137 0.685359306 0.1221566232 0.014640694
0.8 0.5762024423 0.7782305923 0.1585151776 0.0217694077
0.9 0.6482277476 0.8691406008 0.1991425239 0.0308593992
1 0.7202530529 0.9578771966 0.2438279929 0.0421228034
1.1 0.7922783582 1.044239515 0.2923398725 0.055760485
1.2 0.8643036635 1.1280390026 0.3444266091 0.0719609974
1.3 0.9363289688 1.2091003955 0.3998181121 0.0908996045
1.4 1.0083542741 1.2872626279 0.458227154 0.1127373721
1.5 1.0803795794 1.3623796673 0.5193508607 0.1376203327
1.6 1.1524048847 1.4343212718 0.5828722811 0.1656787282
1.7 1.22443019 1.5029736652 0.648462031 0.1970263348
1.8 1.2964554953 1.5682401274 0.7157800013 0.2317598726
1.9 1.3684808006 1.6300414957 0.784477121 0.2699585043
2 1.4405061059 1.6883165753 0.8541971682 0.3116834247
2.1 1.5125314111 1.7430224564 0.9245786162 0.3569775436
2.2 1.5845567164 1.7941347373 0.9952565089 0.4058652627
2.3 1.6565820217 1.8416476503 1.065864353 0.4583523497
2.4 1.728607327 1.8855740919 1.1360360184 0.5144259081
2.5 1.8006326323 1.925945556 1.2054076369 0.574054444
2.6 1.8726579376 1.9628119704 1.2736194886 0.6371880296
2.7 1.9446832429 1.9962414381 1.3403178677 0.7037585619
2.8 2.0167085482 2.0263198839 1.4051569162 0.7736801161
2.9 2.0887338535 2.0531506091 1.4678004176 0.8468493909
3 2.1607591588 2.0768537558 1.5279235401 0.9231462442
3.1 2.2327844641 2.0975656836 1.5852145212 1.0024343164
3.2 2.3048097694 2.115438263 1.639376284 1.084561737
3.3 2.3768350747 2.1306380876 1.690127978 1.1693619124
