# Time	Qx	Qy	Qz	Mx	My	Mz	Wx	Wy	Wz
0	0	0	0	0	0	0	0	0	0
0.01	-2.82828	-1.63329	29.8217	-8.88353e-19	-1.61966e-19	-1.49415e-21	-0.204196	-0.145389	5.62216
0.02	-11.2366	-6.48096	58.581	-4.01846e-19	-1.35138e-20	-2.62301e-21	-0.812723	-0.578755	11.1813
0.03	-24.9992	-14.3888	85.2526	4.1092e-18	-5.2831e-19	3.98791e-19	-1.81357	-1.2918	16.6161
0.04	-43.751	-25.1076	108.883	-2.57515e-18	-2.85342e-19	9.5161e-20	-3.18725	-2.27109	21.8691
0.05	-67.004	-38.3044	128.62	2.39377e-18	1.77393e-19	1.05227e-18	-4.90758	-3.49855	26.8876
0.06	-94.1686	-53.5773	143.742	1.36427e-20	-5.57537e-20	1.29233e-23	-6.94268	-4.95221	31.6255
0.07	-124.578	-70.4718	153.669	-2.54148e-20	3.01306e-20	5.38863e-26	-9.25615	-6.60696	36.044
0.08	-157.513	-88.4992	157.979	-3.7447e-20	-1.82038e-21	2.08707e-23	-11.8083	-8.43552	40.1122
0.09	-192.233	-107.155	156.41	2.68928e-20	1.13165e-20	2.11437e-22	-14.5576	-10.4092	43.8076
0.1	-227.996	-125.936	148.855	9.53636e-20	-8.74089e-20	4.24314e-22	-17.4617	-12.499	47.1157
0.11	-264.085	-144.356	135.353	-3.79596e-21	8.64899e-21	6.77455e-22	-20.4788	-14.6762	50.03
0.12	-299.826	-161.959	116.075	-5.08073e-20	4.80409e-20	-1.64052e-21	-23.5685	-16.9129	52.5509
0.13	-334.606	-178.331	91.305	-1.10954e-20	5.37214e-21	1.54037e-21	-26.6927	-19.1833	54.6855
0.14	-367.882	-193.107	61.4211	2.8676e-20	-3.33884e-20	4.4534e-23	-29.8164	-21.4632	56.4464
0.15	-399.19	-205.974	26.8736	2.13824e-20	-4.76903e-20	-1.31821e-21	-32.908	-23.7312	57.8507
0.16	-428.148	-216.677	-11.835	1.65732e-20	-1.85548e-20	6.37391e-22	-35.9396	-25.9681	58.9192
0.17	-454.459	-225.017	-54.1706	6.73211e-20	-4.72731e-20	-3.74659e-21	-38.8873	-28.1578	59.6753
0.18	-477.903	-230.849	-99.5842	-6.91353e-21	3.62795e-21	5.65506e-21	-41.7309	-30.2866	60.1441
0.19	-498.34	-234.078	-147.528	1.24076e-20	1.36641e-20	-8.34428e-21	-44.4541	-32.3435	60.3519
0.2	-515.696	-234.657	-197.469	-5.98813e-21	-5.70317e-21	-2.14401e-22	-47.0442	-34.3197	60.325
0.21	-529.959	-232.579	-248.898	-1.10021e-20	6.70816e-21	-1.16104e-20	-49.4915	-36.209	60.0896
0.22	-541.174	-227.873	-301.338	-2.75584e-21	5.21544e-23	1.05026e-21	-51.7895	-38.007	59.6711
0.23	-549.43	-220.596	-354.351	2.46821e-20	3.30323e-21	8.57237e-21	-53.9342	-39.711	59.0938
0.24	-554.852	-210.832	-407.54	1.23852e-20	2.0221e-20	1.17527e-20	-55.924	-41.32	58.3805
0.25	-557.599	-198.682	-460.553	7.62735e-21	1.12661e-20	7.74307e-21	-57.759	-42.8342	57.5526
0.26	-557.849	-184.261	-513.081	-4.71942e-22	-2.98691e-20	9.01734e-21	-59.4412	-44.2549	56.6297
0.27	-555.802	-167.696	-564.856	2.79395e-22	1.82201e-20	-1.87698e-21	-60.9738	-45.5843	55.6294
0.28	-551.664	-149.119	-615.655	-2.78767e-22	-4.84009e-21	1.22657e-20	-62.3609	-46.8253	54.5681
0.29	-545.65	-128.662	-665.291	-5.13855e-22	2.5221e-21	-2.64148e-21	-63.6075	-47.9812	53.4599
0.3	-537.979	-106.463	-713.614	-3.2741e-21	1.64725e-20	1.00074e-20	-64.7194	-49.0557	52.3176
0.31	-528.866	-82.6529	-760.506	7.88683e-21	-3.09548e-20	-1.143e-20	-65.7025	-50.0529	51.1524
0.32	-518.525	-57.3617	-805.879	-7.09283e-21	1.33718e-20	-1.10414e-20	-66.5631	-50.9769	49.9739
0.33	-507.163	-30.7139	-849.672	-6.35925e-21	6.07908e-21	2.76963e-21	-67.3077	-51.8318	48.7904
0.34	-494.979	-2.82778	-891.845	-5.15539e-21	2.31137e-20	3.01299e-21	-67.9426	-52.6218	47.6091
0.35	-482.167	26.1846	-932.378	-5.73544e-21	-5.63179e-22	4.10834e-21	-68.4742	-53.351	46.4359
0.36	-468.908	56.218	-971.27	-3.79593e-21	2.47734e-20	-5.72008e-22	-68.9088	-54.0233	45.2758
0.37	-455.375	87.1746	-1008.53	-2.01359e-20	1.29504e-20	4.7524e-22	-69.2523	-54.6425	44.1328
0.38	-441.732	118.963	-1044.18	-2.59682e-20	-6.2109e-22	1.3195e-21	-69.5105	-55.2122	43.0102
0.39	-428.132	151.5	-1078.26	7.14838e-21	-5.44281e-21	-5.78898e-23	-69.6891	-55.7358	41.9104
0.4	-414.719	184.707	-1110.81	-1.77366e-20	1.27565e-20	8.23296e-22	-69.7932	-56.2166	40.8356
0.41	-401.627	218.514	-1141.86	-5.12583e-21	-1.4352e-21	-5.70856e-21	-69.828	-56.6574	39.7869
0.42	-388.983	252.855	-1171.48	-1.92094e-20	-5.07859e-22	-1.33269e-21	-69.7981	-57.0611	38.7654
