# Time	Qx	Qy	Qz	Mx	My	Mz	Wx	Wy	Wz
0	0	0	0	0	0	0	0	0	0
0.01	-253.087	3.85373e-18	1315.88	9.94737e-36	-2.82248e-55	-5.48088e-38	-0.960272	9.99976e-16	12.6038
0.02	-990.69	1.62713e-17	2490.17	-2.43603e-36	1.45658e-18	7.98757e-36	-3.78209	9.99907e-16	24.7835
0.03	-2150.89	3.89432e-17	3396.19	-3.71042e-36	1.45658e-18	1.51935e-35	-8.29587	9.99801e-16	36.1528
0.04	-3639.98	7.40461e-17	3934.49	-3.33951e-35	1.31092e-17	1.22706e-34	-14.2422	9.99663e-16	46.3954
0.05	-5344.55	1.23977e-16	4040.52	9.57474e-35	1.31092e-17	2.16832e-34	-21.3015	9.99498e-16	55.2855
0.06	-7144.77	1.91165e-16	3686.99	-7.16348e-35	1.45658e-18	3.24235e-34	-29.1275	9.99312e-16	62.6958
0.07	-8926.53	2.77938e-16	2881.23	-1.17308e-34	-2.18486e-17	-1.71753e-34	-37.3779	9.99106e-16	68.5937
0.08	-10590.9	3.86428e-16	1658.94	3.34753e-35	1.45658e-18	-3.42899e-34	-45.7403	9.98884e-16	73.0273
0.09	-12059.8	5.18483e-16	75.981	1.225e-34	1.45658e-18	-3.92956e-34	-53.9484	9.98646e-16	76.1069
0.1	-13278.5	6.75619e-16	-1800.2	-3.04189e-34	-2.18486e-17	-2.10622e-34	-61.7911	9.98394e-16	77.9841
0.11	-14215.2	8.5902e-16	-3898.27	1.93046e-34	1.45658e-18	4.16122e-35	-69.1135	9.98127e-16	78.8329
0.12	-14857.8	1.06959e-15	-6149.13	-2.03003e-35	2.47618e-17	2.58198e-36	-75.8135	9.97844e-16	78.8329
0.13	-15211	1.30805e-15	-8490.17	-6.82482e-35	1.45658e-18	2.87531e-35	-81.8344	9.97542e-16	78.1581
0.14	-15291.5	1.57507e-15	-10867.8	-3.13475e-35	1.45658e-18	1.24657e-34	-87.1559	9.9722e-16	76.9677
0.15	-15124.6	1.87136e-15	-13238.5	1.93383e-35	1.45658e-18	7.43013e-35	-91.7861	9.96874e-16	75.4024
0.16	-14740.7	2.19776e-15	-15568.7	-8.838e-36	1.45658e-18	-2.86066e-34	-95.7529	9.96501e-16	73.5818
0.17	-14172.6	2.55536e-15	-17834.4	-4.82686e-36	1.45658e-18	-3.81657e-34	-99.0973	9.96099e-16	71.6047
0.18	-13453.2	2.94545e-15	-20019.7	8.40527e-36	-7.61147e-26	5.07104e-35	-101.868	9.95663e-16	69.5504
0.19	-12614.5	3.36959e-15	-22115.3	-8.74504e-36	-3.64144e-19	-3.04373e-35	-104.116	9.95194e-16	67.481
0.2	-11686.6	3.82953e-15	-24117.7	-5.66093e-36	-7.63267e-26	1.34648e-34	-105.895	9.94688e-16	65.4433
0.21	-10696.7	4.32622e-15	-26027.7	7.19966e-33	-9.32209e-17	3.27778e-32	-107.254	9.94146e-16	63.4714
0.22	-9669.61	4.86397e-15	-27849	2.32097e-33	-9.32209e-17	3.61776e-31	-108.241	9.93567e-16	61.5892
0.23	-8627.26	5.44367e-15	-29587.9	3.94733e-33	-8.68126e-26	1.76186e-31	-108.9	9.92953e-16	59.8119
0.24	-7589	6.06749e-15	-31251.8	-3.86676e-33	2.33052e-17	-1.7101e-31	-109.269	9.92304e-16	58.1483
0.25	-6571.77	6.73756e-15	-32849.1	9.01255e-34	-8.41156e-26	1.36384e-31	-109.384	9.91624e-16	56.6021
0.26	-5590.43	7.4559e-15	-34388.6	2.39363e-34	-8.41215e-26	3.73809e-32	-109.276	9.90913e-16	55.1728
0.27	-4657.98	8.22439e-15	-35878.9	-6.8269e-34	3.64144e-19	3.16963e-32	-108.97	9.90176e-16	53.8572
0.28	-3785.82	9.04468e-15	-37328.5	5.64386e-34	1.82072e-18	-7.92924e-33	-108.493	9.89417e-16	52.6498
0.29	-2984.06	9.91818e-15	-38745.3	-1.6803e-33	-6.91874e-18	-1.92361e-32	-107.862	9.88638e-16	51.5436
