# Time	Qx	Qy	Qz	Mx	My	Mz	Wx	Wy	Wz
0	0	0	0	0	0	0	0	0	0
0.01	1.94387e-22	-7.61006e-23	0.05	-1.22652e-25	-5.25066e-27	0.628832	-0.00825109	0.314208	0.16655
0.02	1.65602e-21	2.64698e-23	0.1	1.10668e-25	6.46235e-26	1.25766	-0.0329279	0.627171	0.332422
0.03	3.95723e-21	-1.05879e-22	0.15	3.50582e-25	8.14256e-25	1.8865	-0.0738034	0.93767	0.496951
0.04	-7.0939e-21	-1.27055e-21	0.2	1.55516e-23	1.47342e-24	2.51533	-0.130508	1.24453	0.659494
0.05	3.17637e-22	0	0.25	4.71881e-23	2.74004e-24	3.14416	-0.202542	1.54665	0.819446
0.06	3.14329e-23	1.07533e-22	0.3	3.5341e-28	1.43888e-27	3.77299	-0.289289	1.84301	0.976245
0.07	6.61744e-24	-9.26442e-23	0.35	1.12586e-26	-8.33037e-28	4.40182	-0.390038	2.13268	1.12938
0.08	1.53856e-22	2.44845e-22	0.4	8.26726e-28	-4.54384e-27	5.03066	-0.504003	2.41486	1.27839
0.09	1.19114e-22	4.76456e-22	0.45	1.14655e-26	1.06023e-27	5.65949	-0.630339	2.68884	1.42288
0.1	-2.44845e-22	-3.50725e-22	0.5	1.27354e-26	6.2604e-27	6.28832	-0.768168	2.95404	1.56251
0.11	-1.05879e-22	-4.89691e-22	0.55	8.88573e-27	7.47209e-27	6.91715	-0.916594	3.21	1.69701
0.12	9.26442e-23	-4.43369e-22	0.6	2.71621e-26	-9.69352e-27	7.54598	-1.07472	3.45633	1.82614
0.13	-1.78671e-22	-1.45584e-22	0.65	-4.24092e-26	-2.10026e-26	8.17482	-1.24167	3.69279	1.94974
0.14	-1.98523e-22	9.79382e-22	0.7	-6.42196e-26	7.39131e-26	8.80365	-1.41658	3.91919	2.06768
0.15	8.99973e-22	2.30287e-21	0.75	-6.42196e-26	-4.20053e-26	9.43248	-1.59865	4.13544	2.17987
0.16	5.29396e-22	1.50878e-21	0.8	9.37041e-26	-4.03897e-26	10.0613	-1.78709	4.34153	2.28629
0.17	2.64698e-23	-2.68668e-21	0.85	-6.22001e-26	-1.53885e-25	10.6901	-1.98118	4.53749	2.3869
0.18	-7.41154e-22	-1.37643e-21	0.9	8.07794e-28	1.13091e-26	11.319	-2.18025	4.7234	2.48172
0.19	2.91168e-22	2.48816e-21	0.95	-1.27631e-25	-1.66405e-25	11.9478	-2.38368	4.8994	2.5708
0.2	1.72054e-21	1.48231e-21	1	8.88573e-26	-1.56712e-25	12.5766	-2.5909	5.06565	2.65418
0.21	1.05879e-21	-1.03894e-21	1.05	4.84676e-27	1.13495e-25	13.2055	-2.80141	5.22234	2.73192
0.22	3.70577e-22	2.08615e-21	1.1	-8.40105e-26	-1.75796e-25	13.8343	-3.01474	5.36967	2.80411
0.23	-1.58819e-21	-2.68007e-21	1.15	7.10858e-26	6.43811e-25	14.4631	-3.23048	5.50784	2.87081
0.24	-8.47033e-22	-3.3749e-21	1.2	-1.9387e-26	-4.56403e-25	15.092	-3.44827	5.63709	2.93213
0.25	1.79995e-21	2.38228e-22	1.25	6.46235e-26	7.12474e-25	15.7208	-3.66779	5.75761	2.98813
0.26	1.74701e-21	2.72639e-21	1.3	1.16322e-25	4.49133e-25	16.3496	-3.88875	5.86964	3.0389
0.27	-1.90582e-21	-8.47033e-22	1.35	3.87741e-26	-4.49133e-25	16.9785	-4.11091	5.97338	3.08451
0.28	1.32349e-21	6.88214e-22	1.4	-2.45569e-25	-2.42338e-25	17.6073	-4.33405	6.06902	3.12505
0.29	3.38813e-21	-2.38228e-21	1.45	3.16655e-25	8.72417e-25	18.2361	-4.55801	6.15675	3.16057
0.3	3.33519e-21	1.27055e-21	1.5	-2.58494e-25	-5.68687e-25	18.865	-4.78261	6.23674	3.19113
0.31	1.64113e-21	6.35275e-22	1.55	1.05983e-24	-1.66082e-24	19.4938	-5.00774	6.30914	3.21678
0.32	4.04988e-21	-3.38813e-21	1.6	-1.00813e-24	-1.02105e-24	20.1226	-5.23329	6.37408	3.23756
0.33	7.67624e-22	2.11758e-21	1.65	-2.58494e-25	-1.03398e-24	20.7515	-5.45916	6.43168	3.25348
0.34	-2.22346e-21	-3.70577e-21	1.7	4.52364e-25	4.91138e-25	21.3803	-5.68529	6.48204	3.26458
0.35	-1.11173e-21	-8.47033e-22	1.75	4.91138e-25	-8.78879e-25	22.0091	-5.91162	6.52523	3.27084
0.36	-6.88214e-22	-1.48231e-21	1.8	-1.97102e-24	3.36042e-25	22.638	-6.13809	6.5613	3.27226
0.37	-1.21761e-21	-4.23516e-22	1.85	-1.48634e-25	-3.36042e-25	23.2668	-6.36468	6.59027	3.26882
0.38	-2.11758e-22	4.23516e-22	1.9	-2.13258e-25	-3.36042e-25	23.8956	-6.59133	6.61215	3.26046
0.39	8.15269e-21	-5.92923e-21	1.95	1.99687e-24	-3.36042e-25	24.5244	-6.81803	6.6269	3.24715
0.4	1.69407e-21	-4.44692e-21	2	-1.82238e-24	4.1359e-25	25.1533	-7.04475	6.63448	3.22881
0.41	4.23516e-22	2.11758e-22	2.05	5.20219e-24	5.16988e-25	25.7821	-7.27145	6.6348	3.20535
0.42	7.19978e-21	-8.47033e-22	2.1	-1.16322e-25	-2.06795e-25	26.4109	-7.49809	6.62776	3.17669
0.43	1.10114e-20	-6.77626e-21	2.15	-6.06168e-24	-1.03398e-25	27.0398	-7.72462	6.61321	3.14269
0.44	1.86347e-20	5.0822e-21	2.2	1.78361e-24	1.55096e-24	27.6686	-7.95098	6.59097	3.10322
0.45	4.23516e-22	-1.07997e-20	2.25	-1.39587e-24	-2.22305e-24	28.2974	-8.17709	6.56085	3.05815
0.46	-6.77626e-21	2.20229e-20	2.3	-3.10193e-24	-1.70606e-24	28.9263	-8.40284	6.52259	3.00729
0.47	3.54033e-22	5.62483e-23	2.35	3.63507e-27	-8.58281e-28	29.5551	-8.6281	6.47593	2.95048
0.48	-5.06235e-22	9.92617e-24	2.4	-1.13091e-26	-1.98414e-26	30.1839	-8.85269	6.42055	2.88751
0.49	1.19114e-22	9.92617e-24	2.45	-1.77715e-26	1.74685e-26	30.8128	-9.07638	6.35612	2.8182
0.5	-3.93738e-22	-2.64698e-23	2.5	1.43383e-26	2.24163e-26	31.4416	-9.2989	6.28226	2.74232
0.51	3.30872e-23	1.32349e-23	2.55	8.68378e-27	-9.28963e-27	32.0704	-9.5199	6.19858	2.65968
0.52	2.01832e-22	1.32349e-23	2.6	7.87599e-27	-7.27014e-27	32.6993	-9.73895	6.10467	2.57005
0.53	4.35304e-22	1.32349e-23	2.65	5.65455e-27	-6.86625e-27	33.3281	-9.95552	6.00009	2.47327
0.54	7.75895e-22	5.9557e-23	2.7	2.39561e-26	3.63507e-27	33.9569	-10.169	5.88442	2.36917
0.55	-1.04225e-22	6.61744e-24	2.75	-1.71656e-26	-1.13091e-26	34.5858	-10.3786	5.75729	2.25762
0.56	-2.8455e-22	-4.63221e-23	2.8	2.82728e-26	2.90806e-26	35.2146	-10.5834	5.61833	2.1386
0.57	-8.60268e-22	-1.91906e-22	2.85	1.0259e-25	-3.23117e-26	35.8434	-10.7824	5.46728	2.01213
0.58	5.4263e-22	1.51374e-22	2.9	-4.84676e-27	-5.57378e-26	36.4723	-10.9744	5.30402	1.87836
0.59	-2.48154e-22	-5.9557e-23	2.95	-3.39273e-26	-6.78547e-26	37.1011	-11.1581	5.12855	1.73759
0.6	2.18376e-22	9.92617e-23	3	7.27014e-26	4.03897e-26	37.7299	-11.3321	4.94112	1.5903
0.61	1.91906e-22	2.64698e-23	3.05	-1.29247e-26	2.85656e-25	38.3588	-11.4946	4.74224	1.43713
0.62	-2.71315e-22	1.32349e-22	3.1	6.13923e-26	-8.88573e-27	38.9876	-11.6443	4.53271	1.27897
0.63	-3.44107e-22	-2.38228e-22	3.15	3.87741e-26	1.19553e-25	39.6164	-11.7795	4.31366	1.11691
0.64	4.10282e-22	4.23516e-22	3.2	3.23117e-27	1.00166e-25	40.2452	-11.8988	4.08658	0.952222
0.65	-1.32349e-22	-1.53525e-21	3.25	9.69352e-26	-2.90806e-26	40.8741	-12.001	3.85324	0.786348
0.66	-4.23516e-22	1.64113e-21	3.3	4.20053e-26	-2.45569e-25	41.5029	-12.0852	3.61566	0.62083
0.67	4.23516e-22	2.11758e-22	3.35	-2.71419e-25	1.29247e-26	42.1317	-12.1508	3.37604	0.457239
0.68	-5.82335e-22	-2.43522e-21	3.4	-2.92421e-25	-1.48634e-25	42.7606	-12.1977	3.13662	0.297104
0.69	5.29396e-22	5.50571e-21	3.45	-3.31195e-26	-6.46235e-26	43.3894	-12.2261	2.89962	0.141834
0.7	4.76456e-22	7.41154e-22	3.5	1.51865e-25	-2.84343e-25	44.0182	-12.2367	2.66708	-0.00733335
0.71	4.76456e-22	6.03511e-21	3.55	3.36042e-25	-2.71419e-25	44.6471	-12.2303	2.44084	-0.149373
0.72	-5.0822e-21	2.20229e-20	3.6	-4.1359e-24	4.54949e-24	45.2759	-12.2083	2.22245	-0.283488
0.73	1.18585e-20	-1.05879e-20	3.65	-2.48154e-24	-3.26736e-23	45.9047	-12.1718	2.01318	-0.409108
0.74	-3.17637e-22	-1.62127e-21	3.7	-2.32645e-25	-3.87741e-25	46.5336	-12.1224	1.81399	-0.525869
0.75	0	1.13158e-21	3.75	3.94203e-25	-1.55096e-25	47.1624	-12.0615	1.62558	-0.633595
0.76	1.00585e-21	-1.21099e-21	3.8	5.04063e-25	-1.68021e-25	47.7912	-11.9906	1.44839	-0.732257
0.77	0	-2.03817e-21	3.85	-1.80946e-25	-5.42837e-25	48.4201	-11.911	1.28265	-0.821951
0.78	-1.00585e-21	3.52048e-21	3.9	-1.29247e-26	-7.56095e-25	49.0489	-11.824	1.12844	-0.902865
0.79	9.52912e-22	-4.49986e-22	3.95	7.75482e-26	-1.97102e-25	49.6777	-11.7309	0.985679	-0.975254
0.8	0	-3.97047e-22	4	0	-1.69637e-25	50.3066	-11.6327	0.854197	-1.03942
0.81	-2.64698e-22	-1.58819e-22	4.05	6.46235e-26	-2.24567e-25	50.9354	-11.5304	0.733736	-1.09569
0.82	-1.58819e-22	1.32349e-22	4.1	3.87741e-26	-4.74983e-25	51.5642	-11.4249	0.623986	-1.14442
0.83	9.26442e-22	-1.4029e-21	4.15	2.58494e-26	1.9387e-25	52.1931	-11.317	0.524596	-1.18596
0.84	5.29396e-22	1.27055e-21	4.2	-2.58494e-26	-1.29247e-25	52.8219	-11.2075	0.43519	-1.22066
0.85	0	5.29396e-22	4.25	3.61892e-25	-3.23117e-26	53.4507	-11.0969	0.35538	-1.24887
0.86	8.47033e-22	-6.08805e-22	4.3	1.16322e-25	-1.9387e-26	54.0796	-10.9858	0.284769	-1.27093
0.87	1.05879e-22	4.76456e-22	4.35	-3.10193e-25	-2.1972e-25	54.7084	-10.8747	0.222961	-1.28716
0.88	-1.31025e-21	1.85288e-22	4.4	-1.29247e-26	-7.23783e-25	55.3372	-10.7642	0.169564	-1.29787
0.89	7.01449e-22	-4.49986e-22	4.45	-6.46235e-26	-3.61892e-25	55.966	-10.6544	0.124196	-1.30337
0.9	-5.82335e-22	3.97047e-22	4.5	5.16988e-25	1.68021e-25	56.5949	-10.5459	0.0864788	-1.30393
0.91	-3.17637e-22	0	4.55	1.80946e-25	-1.55096e-25	57.2237	-10.439	0.0560494	-1.29984
0.92	3.90429e-22	-3.97047e-23	4.6	3.94203e-25	-1.55096e-25	57.8525	-10.3338	0.0325539	-1.29135
