# Time	Qx	Qy	Qz	Mx	My	Mz	Wx	Wy	Wz
0	0	0	0	0	0	0	0	0	0
0.01	-2.01625e-24	-2.27475e-24	0.0001	3.90851e-24	-1.05013e-24	0.1047	-3.57653	62.6178	39.8727
0.02	4.54949e-24	7.85822e-24	0.0002	-7.9293e-24	4.73044e-24	0.2094	-14.1355	124.046	78.9898
0.03	-2.15067e-23	2.15067e-23	0.0003	-4.30392e-23	1.72674e-23	0.3141	-31.1937	183.212	116.665
0.04	-3.55688e-23	-9.26442e-23	0.0004	3.33764e-23	2.06795e-25	0.4188	-54.0304	239.243	152.335
0.05	5.62483e-23	-4.63221e-23	0.0005	-2.16618e-22	1.65436e-24	0.5235	-81.7875	291.516	185.585
0.06	-3.97047e-23	2.64698e-22	0.0006	5.79026e-23	7.52734e-23	0.6282	-113.568	339.655	216.151
0.07	2.24993e-22	-2.64698e-23	0.0007	-3.06057e-23	6.61744e-24	0.7329	-148.512	383.503	243.905
0.08	-6.85009e-25	-1.34417e-24	0.0008	-5.53339e-26	-3.11001e-26	0.8376	-185.852	423.073	268.823
0.09	-3.61892e-25	-1.44757e-24	0.0009	8.48183e-27	-4.16014e-26	0.9423	-224.934	458.499	290.955
0.1	-2.06795e-25	1.70606e-24	0.001	-1.14707e-25	-1.35305e-25	1.047	-265.228	489.989	310.4
0.11	-8.78879e-25	-1.16322e-25	0.0011	-1.77715e-26	4.6852e-26	1.1517	-306.318	517.791	327.281
0.12	2.58494e-25	-3.13101e-24	0.0012	-1.61559e-26	2.67582e-26	1.2564	-347.89	542.163	341.731
0.13	5.16988e-26	3.05023e-24	0.0013	-7.4317e-26	5.25874e-25	1.3611	-389.718	563.357	353.878
0.14	-1.03398e-24	1.49926e-24	0.0014	9.69352e-26	-3.87741e-26	1.4658	-431.648	581.603	363.838
0.15	-1.13737e-24	-1.34417e-24	0.0015	3.23117e-27	-2.26182e-26	1.5705	-473.584	597.107	371.707
0.16	-1.08567e-24	-1.29247e-24	0.0016	-2.00333e-25	8.72417e-26	1.6752	-515.476	610.04	377.563
0.17	-1.49926e-24	-7.23783e-25	0.0017	-3.90972e-25	1.29247e-26	1.7799	-557.314	620.54	381.456
0.18	-5.42837e-25	-1.13737e-24	0.0018	-5.7838e-25	2.84343e-25	1.8846	-599.116	628.706	383.411
0.19	-1.24077e-24	0	0.0019	-3.68354e-25	-1.80946e-25	1.9893	-640.922	634.596	383.423
0.2	1.86116e-24	-3.10193e-25	0.002	-1.48634e-25	-2.32645e-25	2.094	-682.793	638.227	381.453
0.21	-6.10046e-24	5.58347e-24	0.0021	3.52905e-25	0	2.1987	-724.802	639.565	377.425
0.22	-4.96308e-24	6.41065e-24	0.0022	2.16489e-25	3.36042e-25	2.3034	-767.033	638.524	371.22
0.23	-1.03398e-23	4.96308e-24	0.0023	-2.11965e-24	-2.84343e-25	2.4081	-809.571	634.948	362.67
0.24	1.03398e-23	-8.27181e-24	0.0024	2.67541e-24	4.91138e-25	2.5128	-852.494	628.607	351.545
0.25	-3.92911e-23	7.08273e-24	0.0025	3.56722e-24	1.39587e-24	2.6175	-895.861	619.172	337.546
0.26	3.92911e-23	-2.89513e-24	0.0026	3.61892e-25	1.49926e-24	2.7222	-939.68	606.193	320.29
0.27	2.15067e-23	-8.27181e-25	0.0027	3.61892e-24	1.65436e-24	2.8269	-983.866	589.076	299.304
0.28	-7.19647e-23	-2.48154e-24	0.0028	-1.03398e-25	-6.64329e-24	2.9316	-1028.16	567.061	274.037
0.29	1.91079e-22	7.44463e-23	0.0029	0	1.34417e-23	3.0363	-1071.98	539.245	243.907
0.3	2.0845e-22	4.63221e-23	0.003	-1.03398e-24	6.72084e-24	3.141	-1114.25	504.693	208.46
0.31	1.20768e-22	7.61006e-23	0.0031	-4.54949e-24	-6.82424e-24	3.2457	-1153.13	462.767	167.687
0.32	2.48154e-23	-5.29396e-23	0.0032	3.35008e-23	-1.8198e-23	3.3504	-1186.02	413.749	122.533
0.33	1.19114e-22	5.9557e-23	0.0033	6.10046e-24	-4.1359e-25	3.4551	-1210.12	359.503	75.2629
