# Time	Qx	Qy	Qz	Mx	My	Mz	Wx	Wy	Wz
0	0	0	0	0	0	0	0	0	0
0.01	7.36708e-25	8.78879e-25	1.30937e-41	-7.00649e-46	9.86164e-44	0.2094	-10.491	124.98	1e-15
0.02	-1.42172e-25	9.38333e-24	1.23314e-43	5.21108e-45	-5.80225e-45	0.4188	-41.568	246.035	1e-15
0.03	4.1359e-25	-1.84048e-23	8.18358e-43	-2.06692e-44	1.04222e-44	0.6282	-92.0617	359.403	1e-15
0.04	4.1359e-25	4.54949e-24	-4.70836e-43	2.99528e-44	6.30584e-45	0.8376	-160.081	461.646	1e-15
0.05	1.0986e-25	4.52364e-26	-2.46629e-43	-8.32021e-46	7.8823e-45	1.047	-243.099	549.784	1e-15
0.06	-1.44757e-24	2.55909e-24	3.40796e-42	1.37678e-43	-1.12104e-44	1.2564	-338.063	621.424	1e-15
0.07	9.71937e-24	-1.58715e-23	-3.81153e-43	1.14731e-44	4.55422e-45	1.4658	-441.531	674.845	1e-15
0.08	-4.1359e-24	5.99706e-24	7.51096e-43	-2.27711e-45	3.50325e-45	1.6752	-549.826	709.064	1e-15
0.09	2.23597e-24	2.58494e-25	5.7173e-43	2.43476e-44	1.31372e-44	1.8846	-659.188	723.861	1e-15
0.1	1.19941e-23	-2.89513e-24	1.21072e-42	7.91734e-44	3.71344e-44	2.094	-765.943	719.772	1e-15
0.11	1.31832e-23	-2.58494e-24	-3.92364e-43	3.50325e-46	1.52391e-44	2.3034	-866.651	698.048	1e-15
0.12	2.21012e-24	1.83531e-24	-6.05361e-43	0	-5.57016e-44	2.5128	-958.251	660.582	1e-15
0.13	-8.99559e-24	-3.10193e-24	3.05483e-43	-7.00649e-46	1.13965e-44	2.7222	-1038.18	609.805	1e-15
0.14	-1.62851e-24	-3.61892e-25	-6.72623e-44	-4.90454e-45	2.06692e-44	2.9316	-1104.46	548.569	1e-15
0.15	2.06795e-25	4.1359e-25	-4.45613e-43	4.55422e-45	-3.50325e-45	3.141	-1155.77	480.001	1e-15
0.16	-6.07461e-25	-2.1972e-25	-3.00438e-42	5.74532e-44	-5.32493e-44	3.3504	-1191.5	407.361	1e-15
0.17	-9.82277e-25	-1.42172e-25	-7.28675e-43	8.05747e-45	1.75162e-45	3.5598	-1211.7	333.888	1e-15
0.18	-6.20385e-25	-1.1503e-24	4.25995e-43	-1.89175e-44	-8.40779e-45	3.7692	-1217.1	262.659	1e-15
0.19	2.58494e-26	-7.01165e-25	6.10966e-43	9.91309e-45	0	3.9786	-1209.01	196.453	1e-15
0.2	-2.32645e-25	1.44757e-24	2.55036e-43	-9.37118e-45	-1.75162e-45	4.188	-1189.26	137.643	1e-15
0.21	-1.44757e-24	1.60266e-24	-4.70836e-43	1.96182e-44	1.47136e-44	4.3974	-1160.07	88.1025	1e-15
0.22	-2.79173e-24	1.29247e-24	9.86514e-43	-5.60519e-44	-8.40779e-45	4.6068	-1123.94	49.1441	1e-15
0.23	-1.65436e-24	-2.58494e-25	-3.50325e-45	-3.50325e-46	-7.00649e-46	4.8162	-1083.5	21.4873	1e-15
0.24	-1.0986e-25	-1.05013e-26	-4.82047e-43	4.90454e-45	1.41881e-44	5.0256	-1041.41	5.2549	1e-15
0.25	-1.55462e-24	-7.75482e-26	-6.22177e-43	4.2039e-45	1.43633e-44	5.235	-1000.19	0.000111787	1e-15
0.26	-1.22785e-25	2.58494e-26	2.35418e-43	2.10195e-45	-2.67998e-44	5.4444	-962.131	4.76023	1e-15
0.27	-1.31832e-24	-4.65289e-25	5.60519e-43	1.05097e-44	-9.80909e-45	5.6538	-929.185	18.1338	1e-15
0.28	1.29247e-25	-5.16988e-26	8.51989e-43	-7.00649e-46	1.05097e-44	5.8632	-902.883	38.3766	1e-15
0.29	-4.05916e-26	-1.29247e-26	-1.31722e-43	2.27711e-45	-6.13068e-45	6.0726	-884.287	63.5104	1e-15
0.3	-5.16988e-26	-3.23117e-26	1.4013e-44	-1.70783e-45	2.62743e-46	6.282	-873.957	91.439	1e-15
0.31	5.16988e-26	3.39273e-25	1.62551e-43	-1.42757e-44	7.00649e-46	6.4914	-871.955	120.065	1e-15
0.32	-3.87741e-26	-3.87741e-26	-6.72623e-44	5.76284e-44	2.8026e-45	6.7008	-877.87	147.402	1e-15
0.33	-3.87741e-26	6.46235e-26	4.2039e-45	0	-3.50325e-46	6.9102	-890.865	171.672	1e-15
0.34	-1.42172e-25	2.58494e-26	3.69943e-43	2.76756e-44	1.1911e-44	7.1196	-909.748	191.395	1e-15
0.35	-2.03564e-25	3.55429e-25	4.70836e-43	1.4013e-44	2.8026e-45	7.329	-933.057	205.448	1e-15
0.36	-3.23117e-25	1.03398e-25	7.1186e-43	-1.54143e-44	-3.50325e-44	7.5384	-959.158	213.112	1e-15
0.37	1.85793e-25	1.29247e-26	-7.14662e-44	7.00649e-46	5.25487e-46	7.7478	-986.342	214.089	1e-15
0.38	1.5025e-25	-1.29247e-26	-1.68156e-43	0	-1.80089e-45	7.9572	-1012.93	208.493	1e-15
0.39	3.74816e-25	5.16988e-26	-4.48416e-44	2.8026e-45	-1.24365e-44	8.1666	-1037.36	196.829	1e-15
0.4	-8.07794e-27	-1.9387e-26	-1.12104e-43	5.60519e-45	-1.75162e-44	8.376	-1058.28	179.939	1e-15
0.41	8.40105e-26	5.25066e-26	7.00649e-46	1.91584e-46	3.28429e-47	8.5854	-1074.6	158.939	1e-15
