# Time	Qx	Qy	Qz	Mx	My	Mz	Wx	Wy	Wz
0	0	0	0	0	0	0	0	0	0
0.001	-2.56495	3.36021e-20	133.975	-1.24365e-42	9.33459e-78	4.1203e-43	-0.00977278	1e-15	1.2754
0.002	-10.2576	1.34511e-19	267.804	1.06964e-37	1.10441e-23	-1.72092e-39	-0.0390849	9.99999e-16	2.55036
0.003	-23.071	3.02965e-19	401.337	-5.62668e-37	1.10441e-23	-2.88782e-35	-0.0879179	9.99999e-16	3.82444
0.004	-40.9941	5.39334e-19	534.43	-2.15723e-37	1.10441e-23	1.1241e-36	-0.156241	9.99998e-16	5.09719
0.005	-64.011	8.44124e-19	666.935	-8.87377e-38	1.87749e-22	-1.0918e-35	-0.244011	9.99997e-16	6.36818
0.006	-92.1014	1.21797e-18	798.707	-1.10001e-37	1.87749e-22	-1.09283e-35	-0.351172	9.99995e-16	7.63696
0.007	-125.241	1.66164e-18	929.601	1.09442e-36	-1.65662e-22	-3.29396e-35	-0.477657	9.99994e-16	8.90311
0.008	-163.4	2.17602e-18	1059.47	1.09432e-36	5.41159e-22	1.31704e-35	-0.623387	9.99992e-16	10.1662
0.009	-206.545	2.76215e-18	1188.18	1.9048e-36	1.24798e-21	2.87367e-35	-0.788269	9.9999e-16	11.4258
0.01	-254.64	3.42115e-18	1315.58	-4.91907e-36	1.24798e-21	3.99801e-35	-0.972201	9.99987e-16	12.6814
0.011	-307.64	4.1543e-18	1441.54	-6.37067e-36	-1.65661e-22	-1.1564e-34	-1.17507	9.99985e-16	13.9327
0.012	-365.502	4.96299e-18	1565.91	-3.56538e-36	-1.6566e-22	4.43773e-35	-1.39674	9.99982e-16	15.1792
0.013	-428.173	5.8487e-18	1688.56	-4.41469e-36	2.66162e-21	4.43022e-35	-1.63708	9.99979e-16	16.4205
0.014	-495.6	6.81306e-18	1809.35	-5.25543e-36	-1.6566e-22	4.42102e-35	-1.89595	9.99975e-16	17.6563
0.015	-567.725	7.85777e-18	1928.16	-6.09418e-36	-1.6566e-22	4.41024e-35	-2.17317	9.99972e-16	18.886
0.016	-644.484	8.98467e-18	2044.84	8.29591e-37	-1.6566e-22	4.41552e-35	-2.46859	9.99968e-16	20.1093
0.017	-725.813	1.01957e-17	2159.28	8.67598e-36	1.11434e-20	1.5247e-34	-2.78201	9.99964e-16	21.3258
0.018	-811.642	1.14928e-17	2271.34	-5.31369e-36	1.11435e-20	2.51736e-34	-3.11324	9.9996e-16	22.5352
0.019	-901.896	1.28782e-17	2380.9	-3.48814e-37	1.11435e-20	-3.01085e-34	-3.46209	9.99956e-16	23.7369
0.02	-996.499	1.4354e-17	2487.85	-3.68372e-36	-1.65656e-22	-2.19051e-34	-3.82834	9.99951e-16	24.9308
0.021	-1095.37	1.59225e-17	2592.06	4.27878e-37	-1.65656e-22	-2.1908e-34	-4.21176	9.99947e-16	26.1163
0.022	-1198.43	1.75861e-17	2693.41	-2.04353e-35	-1.65656e-22	-3.5639e-34	-4.61214	9.99942e-16	27.2931
0.023	-1305.59	1.93472e-17	2791.8	-1.37359e-35	-1.65656e-22	2.86137e-34	-5.02922	9.99937e-16	28.461
0.024	-1416.75	2.12082e-17	2887.12	-1.91372e-35	2.24526e-20	2.85834e-34	-5.46277	9.99932e-16	29.6194
0.025	-1531.83	2.31719e-17	2979.26	-9.10871e-36	2.24526e-20	-3.12232e-34	-5.91251	9.99927e-16	30.7682
0.026	-1650.73	2.52407e-17	3068.12	-5.29479e-36	-1.65654e-22	3.69712e-34	-6.37819	9.99922e-16	31.9069
0.027	-1773.36	2.74173e-17	3153.59	-3.50846e-35	-1.65654e-22	3.71307e-34	-6.85954	9.99916e-16	33.0353
0.028	-1899.61	2.97045e-17	3235.58	2.98334e-35	-1.65654e-22	-2.45544e-34	-7.35627	9.99911e-16	34.153
0.029	-2029.37	3.2105e-17	3314.01	3.43964e-35	-1.65654e-22	-2.44947e-34	-7.86809	9.99905e-16	35.2598
0.03	-2162.55	3.46215e-17	3388.77	-7.52193e-35	-4.54021e-20	-1.5312e-33	-8.39471	9.999e-16	36.3553
0.031	-2299.03	3.7257e-17	3459.79	-2.56803e-36	-1.65651e-22	1.71066e-34	-8.93583	9.99894e-16	37.4392
0.032	-2438.72	4.00142e-17	3526.98	-1.1253e-35	-1.65651e-22	-2.83383e-34	-9.49114	9.99888e-16	38.5114
0.033	-2581.48	4.2896e-17	3590.27	-8.64399e-35	-1.65651e-22	-1.56923e-33	-10.0603	9.99882e-16	39.5715
0.034	-2727.22	4.59053e-17	3649.58	-1.08308e-34	-1.65651e-22	-7.49652e-34	-10.6431	9.99877e-16	40.6192
0.035	-2875.81	4.90448e-17	3704.84	-1.11521e-34	-1.65651e-22	-1.22202e-33	-11.2391	9.99871e-16	41.6544
0.036	-3027.15	5.23176e-17	3755.98	2.37763e-35	4.50708e-20	-5.72859e-34	-11.8479	9.99865e-16	42.6768
0.037	-3181.1	5.57265e-17	3802.94	1.96668e-35	-1.65648e-22	7.81308e-35	-12.4694	9.99859e-16	43.6861
0.038	-3337.57	5.92743e-17	3845.66	1.81549e-35	9.03072e-20	7.84858e-35	-13.1031	9.99854e-16	44.6822
0.039	-3496.42	6.29639e-17	3884.09	7.20249e-35	9.03072e-20	-5.55927e-34	-13.7487	9.99848e-16	45.6649
0.04	-3657.53	6.6798e-17	3918.17	-6.69566e-35	9.03072e-20	9.74819e-35	-14.4059	9.99842e-16	46.6339
0.041	-3820.78	7.07796e-17	3947.87	6.13908e-35	-1.65644e-22	7.49838e-34	-15.0742	9.99837e-16	47.5891
0.042	-3986.06	7.49113e-17	3973.12	4.79172e-35	-1.65644e-22	7.5082e-34	-15.7534	9.99831e-16	48.5303
0.043	-4153.24	7.91958e-17	3993.9	3.44487e-35	-1.65644e-22	7.51558e-34	-16.4431	9.99826e-16	49.4573
0.044	-4322.19	8.3636e-17	4010.17	2.10101e-35	-1.65644e-22	7.52054e-34	-17.143	9.9982e-16	50.3701
0.045	-4492.8	8.82343e-17	4021.9	7.6066e-36	-1.65644e-22	7.52309e-34	-17.8527	9.99815e-16	51.2683
0.046	-4664.94	9.29934e-17	4029.05	-5.02988e-35	9.03072e-20	-1.14737e-33	-18.5717	9.9981e-16	52.152
0.047	-4838.48	9.79158e-17	4031.61	5.1155e-35	9.03072e-20	-4.71505e-34	-19.2999	9.99805e-16	53.021
0.048	-5013.32	1.03004e-16	4029.55	-5.35447e-35	1.8078e-19	2.11467e-34	-20.0368	9.998e-16	53.8752
0.049	-5189.31	1.0826e-16	4022.86	-4.11587e-35	-1.65641e-22	8.9841e-34	-20.7821	9.99795e-16	54.7145
0.05	-5366.35	1.13687e-16	4011.52	-3.25563e-35	1.8078e-19	9.09585e-34	-21.5353	9.99791e-16	55.5388
0.051	-5544.3	1.19287e-16	3995.53	6.93991e-35	1.8078e-19	-9.61096e-34	-22.2963	9.99786e-16	56.348
0.052	-5723.06	1.25061e-16	3974.87	1.6428e-35	1.8078e-19	-2.50796e-34	-23.0645	9.99782e-16	57.142
0.053	-5902.49	1.31013e-16	3949.55	-7.39559e-35	1.8078e-19	4.6652e-34	-23.8396	9.99778e-16	57.9208
0.054	-6082.49	1.37144e-16	3919.57	-3.93994e-35	1.8078e-19	1.19074e-33	-24.6213	9.99775e-16	58.6843
0.055	-6262.93	1.43456e-16	3884.93	-3.88556e-35	1.8078e-19	-6.4686e-34	-25.4092	9.99771e-16	59.4326
0.056	-6443.69	1.4995e-16	3845.63	-2.61449e-35	-1.65641e-22	9.67926e-35	-26.2031	9.99768e-16	60.1654
0.057	-6624.66	1.5663e-16	3801.7	-2.77945e-35	-1.65641e-22	9.63318e-35	-27.0024	9.99765e-16	60.883
0.058	-6805.73	1.63495e-16	3753.14	-2.94296e-35	-1.65641e-22	9.5845e-35	-27.8069	9.99762e-16	61.5851
0.059	-6986.78	1.70549e-16	3699.97	-3.10497e-35	-1.65641e-22	9.53324e-35	-28.6162	9.9976e-16	62.2718
0.06	-7167.7	1.77791e-16	3642.21	-3.26545e-35	-1.65641e-22	9.47948e-35	-29.43	9.99757e-16	62.9432
0.061	-7348.38	1.85225e-16	3579.89	5.60722e-35	1.8078e-19	8.94063e-34	-30.248	9.99755e-16	63.5991
