Time,Qx,Qy,Qz,Mx,My,Mz,Wx,Wy,Wz,,,,Load Mag,Wx,Wz,,Wz_1280Cvs,Wz_20CVs,Wx_20CVs,,Reference,results,from,Simo,Paper
0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,0,0,0,,Vertical,,,Horizontal,
0.001,-2.56495,4.35179E-019,133.975,-6.19823E-040,-6.91602E-025,-3.75046E-036,-0.00977271,1E-015,1.27301,,,,0.133999550721271,0.00977271,1.27301,,1.2762,1.2754,0.00977278,,0.196983809278406,-0.685876221240761,,0.267787003824683,-0.125958661144836
0.002,-10.2575,1.7402E-018,267.804,-2.0028E-037,-1.17357E-023,-8.10441E-036,-0.0390845,1.00001E-015,2.54557,,,,0.26800037075021,0.0390845,2.54557,,2.55196,2.55036,0.0390849,,0.555446780682063,5.28927290382615,,2.79472860228686,4.34006460434739
0.003,-23.0709,3.91324E-018,401.337,2.8503E-037,-5.59132E-023,-1.14406E-035,-0.0879166,1.00003E-015,3.81724,,,,0.401999569646299,0.0879166,3.81724,,3.82684,3.82444,0.0879179,,1.26426349061647,11.4488416797125,,5.25792988644692,13.2897088840882
0.004,-40.9938,6.95117E-018,534.43,-2.99912E-036,-2.32619E-022,-4.36779E-035,-0.156237,1.00005E-015,5.08758,,,,0.535999922144061,0.156237,5.08758,,5.10039,5.09719,0.156241,,1.76276332216955,17.4230395751169,,6.73878044430347,20.7516299716608
0.005,-64.0102,1.08495E-017,666.935,-4.82206E-037,-2.32619E-022,-3.05288E-035,-0.244003,1.00008E-015,6.35614,,,,0.669999701439515,0.244003,6.35614,,6.37219,6.36818,0.244011,,2.40130001387205,23.3962862408588,,7.79795089276863,27.0956183983666
0.006,-92.0999,1.56026E-017,798.707,-6.62231E-036,-2.32619E-022,-1.96692E-034,-0.351157,1.00011E-015,7.62247,,,,0.803999541933333,0.351157,7.62247,,7.64179,7.63696,0.351172,,3.03931352926017,28.9959374566493,,8.85816769386254,34.1867977249753
0.007,-125.238,2.12034E-017,929.602,-5.32436E-036,-9.39438E-022,-9.43789E-035,-0.47763,1.00015E-015,8.88615,,,,0.93800023190189,0.47763,8.88615,,8.90876,8.90311,0.477657,,3.95897029389029,35.714472562969,,10.0581597669487,41.0902280969458
0.008,-163.395,2.76435E-017,1059.47,-1.72488E-036,-9.39437E-022,1.14802E-035,-0.623342,1.00019E-015,10.1467,,,,1.07199561889263,0.623342,10.1467,,10.1727,10.1662,0.623387,,4.52591902657493,40.5674084936878,,11.4018509343849,50.6078753889139
0.009,-206.538,3.49135E-017,1188.18,-1.71344E-035,-9.39437E-022,-2.01123E-034,-0.788198,1.00024E-015,11.4038,,,,1.20599737057922,0.788198,11.4038,,11.4331,11.4258,0.788269,,5.16288618933429,45.4198688095754,,13.0261389984344,60.4972156715085
0.01,-254.628,4.30024E-017,1315.59,-1.92887E-035,-9.39439E-022,-2.51859E-034,-0.972094,1.0003E-015,12.6569,,,,1.34000465166506,0.972094,12.6569,,12.6896,12.6814,0.972201,,6.01095499494654,51.018093180872,,14.7899407463189,70.012009274489
