#,Time,Qx,Qy,Qz,Mx,My,Mz,Wx,Wy,Wz
0,0,0,0,0,0,0,0,0,0,
0.001,-2.56496,-3.75578E-019,133.975,-4.55351E-051,-3.70696E-016,5.63867E-049,-0.00977278,9.99998E-016,1.2762,
0.002,-10.2576,-1.50193E-018,267.804,8.05718E-035,-3.70696E-016,-8.14172E-035,-0.039085,9.99993E-016,2.55196,
0.003,-23.0711,-3.37793E-018,401.337,-6.06726E-035,3.70696E-016,-4.30709E-035,-0.0879182,9.99984E-016,3.82684,
0.004,-40.9942,-6.00167E-018,534.43,-1.22421E-035,3.70696E-016,1.52521E-034,-0.156242,9.99972E-016,5.10039,
0.005,-64.0112,-9.37051E-018,666.935,-1.51473E-035,-1.11209E-015,1.53297E-034,-0.244013,9.99956E-016,6.37219,
0.006,-92.1019,-1.34811E-017,798.707,-1.44598E-035,-1.11209E-015,1.49994E-034,-0.351177,9.99936E-016,7.64179,
0.007,-125.242,-1.83292E-017,929.601,-2.06975E-035,-4.07765E-015,1.46471E-034,-0.477666,9.99913E-016,8.90876,
0.008,-163.402,-2.391E-017,1059.47,-2.36174E-035,-4.07765E-015,1.3463E-034,-0.623401,9.99886E-016,10.1727,
0.009,-206.548,-3.02178E-017,1188.18,-2.6314E-035,-1.11209E-015,1.22742E-034,-0.788292,9.99856E-016,11.4331,
0.01,-254.643,-3.72465E-017,1315.58,5.40987E-038,-7.07086E-022,-1.0071E-036,-0.972235,9.99823E-016,12.6896,
0.011,-307.646,-4.49888E-017,1441.54,4.30787E-038,-1.86876E-026,1.10894E-036,-1.17512,9.99786E-016,13.9417,
0.012,-365.51,-5.34371E-017,1565.91,5.52318E-038,-1.86424E-026,-8.4514E-037,-1.39681,9.99746E-016,15.1891,
0.013,-428.184,-6.25829E-017,1688.56,9.11435E-039,-1.41408E-021,-2.6429E-037,-1.63718,9.99702E-016,16.4313,
0.014,-495.615,-7.24172E-017,1809.35,-2.13464E-037,-6.51808E-026,-7.40606E-036,-1.89608,9.99655E-016,17.668,
0.015,-567.744,-8.293E-017,1928.15,-1.04538E-038,1.39028E-026,1.75039E-036,-2.17334,9.99604E-016,18.8986,
0.016,-644.509,-9.41111E-017,2044.83,-1.22459E-037,1.39028E-026,2.49546E-036,-2.4688,9.9955E-016,20.1229,
0.017,-725.844,-1.05949E-016,2159.27,-3.25277E-037,1.39028E-026,-5.50547E-036,-2.78228,9.99493E-016,21.3403,
0.018,-811.679,-1.18433E-016,2271.33,-2.52311E-037,1.39028E-026,-5.10408E-036,-3.11358,9.99433E-016,22.5506,
