#,Time,Qx,Qy,Qz,Mx,My,Mz,Wx,Wy,Wz,,
0,0,0,0,0,0,0,0,0,0,,,0
0.001,-2.56495,3.36021E-020,133.975,-1.24365E-042,9.33459E-078,4.1203E-043,-0.00977278,1E-015,1.2754,,,0.00977278
0.002,-10.2576,1.34511E-019,267.804,1.06964E-037,1.10441E-023,-1.72092E-039,-0.0390849,9.99999E-016,2.55036,,,0.0390849
0.003,-23.071,3.02965E-019,401.337,-5.62668E-037,1.10441E-023,-2.88782E-035,-0.0879179,9.99999E-016,3.82444,,,0.0879179
0.004,-40.9941,5.39334E-019,534.43,-2.15723E-037,1.10441E-023,1.1241E-036,-0.156241,9.99998E-016,5.09719,,,0.156241
0.005,-64.011,8.44124E-019,666.935,-8.87377E-038,1.87749E-022,-1.0918E-035,-0.244011,9.99997E-016,6.36818,,,0.244011
0.006,-92.1014,1.21797E-018,798.707,-1.10001E-037,1.87749E-022,-1.09283E-035,-0.351172,9.99995E-016,7.63696,,,0.351172
0.007,-125.241,1.66164E-018,929.601,1.09442E-036,-1.65662E-022,-3.29396E-035,-0.477657,9.99994E-016,8.90311,,,0.477657
0.008,-163.4,2.17602E-018,1059.47,1.09432E-036,5.41159E-022,1.31704E-035,-0.623387,9.99992E-016,10.1662,,,0.623387
0.009,-206.545,2.76215E-018,1188.18,1.9048E-036,1.24798E-021,2.87367E-035,-0.788269,9.9999E-016,11.4258,,,0.788269
0.01,-254.64,3.42115E-018,1315.58,-4.91907E-036,1.24798E-021,3.99801E-035,-0.972201,9.99987E-016,12.6814,,,0.972201
0.011,-307.64,4.1543E-018,1441.54,-6.37067E-036,-1.65661E-022,-1.1564E-034,-1.17507,9.99985E-016,13.9327,,,1.17507
0.012,-365.502,4.96299E-018,1565.91,-3.56538E-036,-1.6566E-022,4.43773E-035,-1.39674,9.99982E-016,15.1792,,,1.39674
0.013,-428.173,5.8487E-018,1688.56,-4.41469E-036,2.66162E-021,4.43022E-035,-1.63708,9.99979E-016,16.4205,,,1.63708
0.014,-495.6,6.81306E-018,1809.35,-5.25543E-036,-1.6566E-022,4.42102E-035,-1.89595,9.99975E-016,17.6563,,,1.89595
0.015,-567.725,7.85777E-018,1928.16,-6.09418E-036,-1.6566E-022,4.41024E-035,-2.17317,9.99972E-016,18.886,,,2.17317
0.016,-644.484,8.98467E-018,2044.84,8.29591E-037,-1.6566E-022,4.41552E-035,-2.46859,9.99968E-016,20.1093,,,2.46859
0.017,-725.813,1.01957E-017,2159.28,8.67598E-036,1.11434E-020,1.5247E-034,-2.78201,9.99964E-016,21.3258,,,2.78201
0.018,-811.642,1.14928E-017,2271.34,-5.31369E-036,1.11435E-020,2.51736E-034,-3.11324,9.9996E-016,22.5352,,,3.11324
0.019,-901.896,1.28782E-017,2380.9,-3.48814E-037,1.11435E-020,-3.01085E-034,-3.46209,9.99956E-016,23.7369,,,3.46209
0.02,-996.499,1.4354E-017,2487.85,-3.68372E-036,-1.65656E-022,-2.19051E-034,-3.82834,9.99951E-016,24.9308,,,3.82834
0.021,-1095.37,1.59225E-017,2592.06,4.27878E-037,-1.65656E-022,-2.1908E-034,-4.21176,9.99947E-016,26.1163,,,4.21176
0.022,-1198.43,1.75861E-017,2693.41,-2.04353E-035,-1.65656E-022,-3.5639E-034,-4.61214,9.99942E-016,27.2931,,,4.61214
0.023,-1305.59,1.93472E-017,2791.8,-1.37359E-035,-1.65656E-022,2.86137E-034,-5.02922,9.99937E-016,28.461,,,5.02922
0.024,-1416.75,2.12082E-017,2887.12,-1.91372E-035,2.24526E-020,2.85834E-034,-5.46277,9.99932E-016,29.6194,,,5.46277
0.025,-1531.83,2.31719E-017,2979.26,-9.10871E-036,2.24526E-020,-3.12232E-034,-5.91251,9.99927E-016,30.7682,,,5.91251
0.026,-1650.73,2.52407E-017,3068.12,-5.29479E-036,-1.65654E-022,3.69712E-034,-6.37819,9.99922E-016,31.9069,,,6.37819
0.027,-1773.36,2.74173E-017,3153.59,-3.50846E-035,-1.65654E-022,3.71307E-034,-6.85954,9.99916E-016,33.0353,,,6.85954
0.028,-1899.61,2.97045E-017,3235.58,2.98334E-035,-1.65654E-022,-2.45544E-034,-7.35627,9.99911E-016,34.153,,,7.35627
0.029,-2029.37,3.2105E-017,3314.01,3.43964E-035,-1.65654E-022,-2.44947E-034,-7.86809,9.99905E-016,35.2598,,,7.86809
0.03,-2162.55,3.46215E-017,3388.77,-7.52193E-035,-4.54021E-020,-1.5312E-033,-8.39471,9.999E-016,36.3553,,,8.39471
0.031,-2299.03,3.7257E-017,3459.79,-2.56803E-036,-1.65651E-022,1.71066E-034,-8.93583,9.99894E-016,37.4392,,,8.93583
0.032,-2438.72,4.00142E-017,3526.98,-1.1253E-035,-1.65651E-022,-2.83383E-034,-9.49114,9.99888E-016,38.5114,,,9.49114
0.033,-2581.48,4.2896E-017,3590.27,-8.64399E-035,-1.65651E-022,-1.56923E-033,-10.0603,9.99882E-016,39.5715,,,10.0603
0.034,-2727.22,4.59053E-017,3649.58,-1.08308E-034,-1.65651E-022,-7.49652E-034,-10.6431,9.99877E-016,40.6192,,,10.6431
0.035,-2875.81,4.90448E-017,3704.84,-1.11521E-034,-1.65651E-022,-1.22202E-033,-11.2391,9.99871E-016,41.6544,,,11.2391
0.036,-3027.15,5.23176E-017,3755.98,2.37763E-035,4.50708E-020,-5.72859E-034,-11.8479,9.99865E-016,42.6768,,,11.8479
0.037,-3181.1,5.57265E-017,3802.94,1.96668E-035,-1.65648E-022,7.81308E-035,-12.4694,9.99859E-016,43.6861,,,12.4694
0.038,-3337.57,5.92743E-017,3845.66,1.81549E-035,9.03072E-020,7.84858E-035,-13.1031,9.99854E-016,44.6822,,,13.1031
0.039,-3496.42,6.29639E-017,3884.09,7.20249E-035,9.03072E-020,-5.55927E-034,-13.7487,9.99848E-016,45.6649,,,13.7487
0.04,-3657.53,6.6798E-017,3918.17,-6.69566E-035,9.03072E-020,9.74819E-035,-14.4059,9.99842E-016,46.6339,,,14.4059
0.041,-3820.78,7.07796E-017,3947.87,6.13908E-035,-1.65644E-022,7.49838E-034,-15.0742,9.99837E-016,47.5891,,,15.0742
0.042,-3986.06,7.49113E-017,3973.12,4.79172E-035,-1.65644E-022,7.5082E-034,-15.7534,9.99831E-016,48.5303,,,15.7534
0.043,-4153.24,7.91958E-017,3993.9,3.44487E-035,-1.65644E-022,7.51558E-034,-16.4431,9.99826E-016,49.4573,,,16.4431
0.044,-4322.19,8.3636E-017,4010.17,2.10101E-035,-1.65644E-022,7.52054E-034,-17.143,9.9982E-016,50.3701,,,17.143
0.045,-4492.8,8.82343E-017,4021.9,7.6066E-036,-1.65644E-022,7.52309E-034,-17.8527,9.99815E-016,51.2683,,,17.8527
0.046,-4664.94,9.29934E-017,4029.05,-5.02988E-035,9.03072E-020,-1.14737E-033,-18.5717,9.9981E-016,52.152,,,18.5717
0.047,-4838.48,9.79158E-017,4031.61,5.1155E-035,9.03072E-020,-4.71505E-034,-19.2999,9.99805E-016,53.021,,,19.2999
0.048,-5013.32,1.03004E-016,4029.55,-5.35447E-035,1.8078E-019,2.11467E-034,-20.0368,9.998E-016,53.8752,,,20.0368
0.049,-5189.31,1.0826E-016,4022.86,-4.11587E-035,-1.65641E-022,8.9841E-034,-20.7821,9.99795E-016,54.7145,,,20.7821
0.05,-5366.35,1.13687E-016,4011.52,-3.25563E-035,1.8078E-019,9.09585E-034,-21.5353,9.99791E-016,55.5388,,,21.5353
0.051,-5544.3,1.19287E-016,3995.53,6.93991E-035,1.8078E-019,-9.61096E-034,-22.2963,9.99786E-016,56.348,,,22.2963
0.052,-5723.06,1.25061E-016,3974.87,1.6428E-035,1.8078E-019,-2.50796E-034,-23.0645,9.99782E-016,57.142,,,23.0645
0.053,-5902.49,1.31013E-016,3949.55,-7.39559E-035,1.8078E-019,4.6652E-034,-23.8396,9.99778E-016,57.9208,,,23.8396
0.054,-6082.49,1.37144E-016,3919.57,-3.93994E-035,1.8078E-019,1.19074E-033,-24.6213,9.99775E-016,58.6843,,,24.6213
0.055,-6262.93,1.43456E-016,3884.93,-3.88556E-035,1.8078E-019,-6.4686E-034,-25.4092,9.99771E-016,59.4326,,,25.4092
0.056,-6443.69,1.4995E-016,3845.63,-2.61449E-035,-1.65641E-022,9.67926E-035,-26.2031,9.99768E-016,60.1654,,,26.2031
0.057,-6624.66,1.5663E-016,3801.7,-2.77945E-035,-1.65641E-022,9.63318E-035,-27.0024,9.99765E-016,60.883,,,27.0024
0.058,-6805.73,1.63495E-016,3753.14,-2.94296E-035,-1.65641E-022,9.5845E-035,-27.8069,9.99762E-016,61.5851,,,27.8069
0.059,-6986.78,1.70549E-016,3699.97,-3.10497E-035,-1.65641E-022,9.53324E-035,-28.6162,9.9976E-016,62.2718,,,28.6162
0.06,-7167.7,1.77791E-016,3642.21,-3.26545E-035,-1.65641E-022,9.47948E-035,-29.43,9.99757E-016,62.9432,,,29.43
0.061,-7348.38,1.85225E-016,3579.89,5.60722E-035,1.8078E-019,8.94063E-034,-30.248,9.99755E-016,63.5991,,,30.248
0.062,-7528.71,1.9285E-016,3513.02,-3.80415E-035,1.8078E-019,-8.64109E-034,-31.0698,9.99754E-016,64.2398,,,31.0698
0.063,-7708.59,2.00668E-016,3441.65,5.14623E-035,-1.65635E-022,-3.9163E-035,-31.895,9.99753E-016,64.865,,,31.895
0.064,-7887.91,2.0868E-016,3365.8,5.21053E-035,1.8078E-019,-3.83033E-035,-32.7234,9.99752E-016,65.475,,,32.7234
0.065,-8066.57,2.16887E-016,3285.51,7.42844E-035,-1.65635E-022,-2.13859E-035,-33.5547,9.99751E-016,66.0698,,,33.5547
0.066,-8244.46,2.2529E-016,3200.81,-4.3955E-035,1.8078E-019,8.31199E-034,-34.3884,9.9975E-016,66.6493,,,34.3884
0.067,-8421.49,2.3389E-016,3111.74,-1.6195E-035,1.8078E-019,4.1082E-034,-35.2243,9.9975E-016,67.2137,,,35.2243
0.068,-8597.57,2.42687E-016,3018.34,4.57312E-035,1.8078E-019,2.26754E-035,-36.0621,9.99751E-016,67.763,,,36.0621
0.069,-8772.58,2.51681E-016,2920.67,4.49425E-035,3.61726E-019,2.34377E-035,-36.9015,9.99752E-016,68.2974,,,36.9015
0.07,-8946.45,2.60873E-016,2818.76,-3.66264E-035,3.61726E-019,-3.31593E-034,-37.7421,9.99753E-016,68.8167,,,37.7421
0.071,-9119.08,2.70263E-016,2712.66,5.656E-035,-1.65625E-022,6.14473E-034,-38.5837,9.99754E-016,69.3213,,,38.5837
0.072,-9290.39,2.79852E-016,2602.43,-1.59759E-035,3.61726E-019,2.93296E-034,-39.4259,9.99756E-016,69.8111,,,39.4259
