# Time	Qx	Qy	Qz	Mx	My	Mz	Wx	Wy	Wz
0	0	0	0	0	0	0	0	0	0
0.001	-2.56495	3.19307e-19	133.975	1.55427e-40	1.38051e-24	1.68625e-40	-0.00977278	1e-15	1.27615
0.002	-10.2576	1.27657e-18	267.804	9.97837e-39	1.37511e-24	-1.86064e-37	-0.039085	1.00001e-15	2.55186
0.003	-23.0711	2.86978e-18	401.337	1.35371e-38	1.37511e-24	-1.85839e-37	-0.0879182	1.00003e-15	3.82669
0.004	-40.9942	5.09564e-18	534.43	1.70903e-38	1.37511e-24	-1.85546e-37	-0.156242	1.00005e-15	5.10019
0.005	-64.0112	7.94949e-18	666.935	2.06362e-38	1.37511e-24	-1.85185e-37	-0.244013	1.00007e-15	6.37194
0.006	-92.1019	1.14254e-17	798.707	-1.96883e-37	3.54785e-22	-2.00477e-37	-0.351176	1.00011e-15	7.64149
0.007	-125.242	1.55161e-17	929.601	-2.00205e-38	1.35678e-24	6.87513e-38	-0.477665	1.00014e-15	8.90841
0.008	-163.401	2.02129e-17	1059.47	-2.13228e-38	1.35678e-24	6.83562e-38	-0.6234	1.00019e-15	10.1723
0.009	-206.548	2.55062e-17	1188.18	-2.26239e-38	1.35678e-24	6.79367e-38	-0.788291	1.00024e-15	11.4326
0.01	-254.643	3.13848e-17	1315.58	3.43151e-37	1.35678e-24	2.54905e-38	-0.972233	1.00029e-15	12.6891
0.011	-307.646	3.78363e-17	1441.54	-5.36989e-37	1.33521e-24	-1.64918e-35	-1.17511	1.00036e-15	13.9412
0.012	-365.509	4.48472e-17	1565.91	-2.22701e-37	1.33521e-24	-1.6499e-35	-1.39681	1.00042e-15	15.1885
0.013	-428.183	5.24027e-17	1688.56	-8.28187e-37	1.34815e-24	1.59299e-35	-1.63717	1.0005e-15	16.4307
0.014	-495.614	6.04868e-17	1809.35	-5.64177e-37	1.34815e-24	-3.78298e-35	-1.89607	1.00057e-15	17.6672
0.015	-567.742	6.90823e-17	1928.15	1.54502e-37	1.34815e-24	-3.78337e-35	-2.17333	1.00066e-15	18.8978
0.016	-644.507	7.81711e-17	2044.83	8.69923e-37	1.34815e-24	-3.78235e-35	-2.46879	1.00075e-15	20.122
0.017	-725.842	8.77337e-17	2159.27	-1.5765e-36	1.34815e-24	-3.78568e-35	-2.78226	1.00084e-15	21.3394
