# Time	Qx	Qy	Qz	Mx	My	Mz	Wx	Wy	Wz
0	0	0	0	0	0	0	0	0	0
0.05	-3.0095e-28	0	2.86986e-42	1.75162e-45	-2.25412e-44	0.392699	-0.0026214	0.196323	1e-15
0.1	2.27192e-28	-2.52435e-29	0	3.50325e-46	-3.87109e-44	0.785398	-0.0104831	0.392489	1e-15
0.15	1.89327e-28	-7.57306e-29	-4.59177e-41	2.8026e-45	2.45578e-43	1.1781	-0.0235774	0.58834	1e-15
0.2	-1.26218e-28	1.51461e-28	0	-4.2039e-44	2.20705e-43	1.5708	-0.0418917	0.78372	1e-15
0.25	-4.16519e-28	-3.78653e-29	-3.58732e-43	-4.37906e-47	-1.42867e-45	1.96349	-0.0654084	0.978472	1e-15
0.3	0	3.78653e-29	-5.73972e-42	-2.8026e-45	-1.1911e-44	2.35619	-0.0941045	1.17244	1e-15
0.35	0	2.01948e-28	-5.73972e-42	3.08286e-44	-2.73253e-44	2.74889	-0.127953	1.36547	1e-15
0.4	1.00974e-28	1.51461e-28	-2.69049e-43	0	-1.16045e-45	3.14159	-0.16692	1.55741	1e-15
0.45	-3.5341e-28	-3.02923e-28	-8.60958e-42	-5.60519e-45	3.29305e-44	3.53429	-0.210968	1.7481	1e-15
0.5	-7.57306e-29	-2.52435e-29	1.14794e-41	5.60519e-45	-7.00649e-46	3.92699	-0.260056	1.93739	1e-15
0.55	-1.51461e-28	-4.03897e-28	7.17465e-43	-5.60519e-45	1.76914e-44	4.31969	-0.314136	2.12514	1e-15
0.6	-2.77679e-28	0	-3.58732e-43	3.50325e-46	-7.00649e-46	4.71239	-0.373155	2.3112	1e-15
0.65	1.73549e-29	7.88861e-29	-1.72192e-41	9.52883e-44	-6.16571e-44	5.10509	-0.437056	2.49542	1e-15
0.7	3.02923e-28	-2.01948e-28	1.14794e-41	-2.24208e-44	-3.36312e-44	5.49779	-0.505779	2.67765	1e-15
0.75	-1.00974e-27	-3.5341e-28	-4.59177e-41	-3.36312e-44	2.24208e-43	5.89049	-0.579258	2.85775	1e-15
0.8	-4.03897e-28	-1.61559e-27	-1.14794e-41	-1.12104e-44	7.28675e-44	6.28318	-0.657421	3.03559	1e-15
0.85	8.07794e-28	1.81754e-27	-1.43493e-42	-6.30584e-45	7.00649e-46	6.67588	-0.740193	3.21102	1e-15
0.9	1.00974e-28	2.01948e-28	-1.14794e-41	-3.36312e-44	-2.24208e-44	7.06858	-0.827497	3.38391	1e-15
0.95	5.04871e-29	-2.52435e-28	5.73972e-42	-4.2039e-45	-1.26117e-44	7.46128	-0.919247	3.55414	1e-15
1	1.76705e-28	3.78653e-28	0	7.00649e-45	-1.12104e-44	7.85398	-1.01536	3.72156	1e-15
