# Time	Qx	Qy	Qz	Mx	My	Mz	Wx	Wy	Wz
0	0	0	0	0	0	0	0	0	0
0.01	-4.54743e-22	-6.94832e-23	0.05	5.98436e-25	-2.30221e-26	0.62832	-0.00824038	0.313952	0.16655
0.02	-1.71061e-21	6.08805e-22	0.1	1.94542e-24	8.07794e-27	1.25664	-0.0328851	0.626662	0.332423
0.03	-3.2624e-21	1.27055e-21	0.15	7.13322e-24	1.9387e-25	1.88496	-0.0737078	0.936911	0.496954
0.04	-5.0822e-21	-5.50571e-21	0.2	1.06629e-24	3.61892e-25	2.51328	-0.130339	1.24353	0.659501
0.05	1.26526e-20	6.35275e-21	0.25	-1.86568e-23	-3.67061e-24	3.1416	-0.20228	1.54541	0.819459
0.06	4.02341e-21	8.47033e-21	0.3	5.09233e-24	-3.77401e-24	3.76992	-0.288916	1.84154	0.976267
0.07	-1.75776e-24	0	0.35	-1.06654e-27	3.40788e-28	4.39824	-0.389538	2.131	1.12941
0.08	-1.13737e-24	8.27181e-25	0.4	4.48073e-28	-1.16751e-27	5.02656	-0.503358	2.41297	1.27844
0.09	-8.582e-24	-9.09899e-24	0.45	-3.50254e-28	-1.76705e-28	5.65488	-0.629536	2.68676	1.42295
0.1	-8.16841e-24	1.65436e-24	0.5	-2.36027e-27	1.11072e-27	6.2832	-0.767192	2.95178	1.56261
0.11	6.41065e-24	2.19203e-23	0.55	8.99933e-27	2.77679e-28	6.91152	-0.915435	3.20757	1.69713
0.12	8.27181e-25	1.73708e-23	0.6	5.53228e-27	5.04871e-29	7.53984	-1.07337	3.45376	1.8263
0.13	1.96455e-24	2.97785e-23	0.65	-5.06764e-27	7.06819e-28	8.16816	-1.24011	3.69008	1.94993
0.14	-6.20385e-25	-1.57164e-23	0.7	4.27878e-27	-1.06023e-27	8.79648	-1.41481	3.91635	2.06791
0.15	-4.3427e-24	-8.27181e-24	0.75	7.06819e-28	2.01948e-28	9.4248	-1.59666	4.1325	2.18016
0.16	-2.64698e-23	-5.70755e-23	0.8	3.15544e-27	-5.04871e-28	10.0531	-1.78487	4.33849	2.28662
0.17	6.61744e-24	1.90252e-23	0.85	-3.68556e-27	1.00974e-28	10.6814	-1.97873	4.53437	2.38729
0.18	-9.09899e-24	-3.06057e-23	0.9	-4.89725e-27	-2.37289e-27	11.3098	-2.17757	4.72022	2.48218
0.19	-2.89513e-23	-4.1359e-24	0.95	-1.35305e-26	-6.56332e-27	11.9381	-2.38076	4.89617	2.57132
0.2	1.8198e-23	-2.06795e-23	1	3.83702e-27	3.38264e-27	12.5664	-2.58774	5.06239	2.65477
0.21	-4.1359e-23	-5.70755e-23	1.05	4.94774e-27	2.52435e-27	13.1947	-2.798	5.21905	2.73259
0.22	3.30872e-23	3.226e-23	1.1	5.25066e-27	-1.13091e-26	13.823	-3.01108	5.36637	2.80485
0.23	-1.8198e-23	-4.54949e-23	1.15	1.00974e-27	2.7364e-26	14.4514	-3.22658	5.50455	2.87165
0.24	-2.48154e-23	3.08125e-23	1.2	2.62533e-27	-7.95172e-28	15.0797	-3.44412	5.63381	2.93305
0.25	-1.65436e-24	-2.83309e-23	1.25	0	7.81919e-27	15.708	-3.66338	5.75436	2.98914
0.26	-2.31611e-23	5.99706e-23	1.3	0	2.27949e-26	16.3363	-3.88408	5.86644	3.04002
0.27	1.32349e-23	-5.37667e-23	1.35	-5.25066e-27	-1.22179e-26	16.9646	-4.10599	5.97023	3.08574
0.28	-6.28657e-23	-1.07533e-23	1.4	1.1915e-26	-2.24163e-26	17.593	-4.32888	6.06594	3.12639
0.29	2.97785e-23	-6.61744e-23	1.45	-1.555e-26	5.44251e-26	18.2213	-4.55257	6.15375	3.16202
0.3	9.92617e-24	1.32349e-22	1.5	-3.43312e-27	1.23189e-26	18.8496	-4.77692	6.23383	3.19271
0.31	4.79765e-23	-1.00916e-22	1.55	-1.69637e-26	-7.87599e-27	19.4779	-5.00179	6.30634	3.21849
0.32	2.15067e-23	1.38966e-22	1.6	1.45403e-26	-6.05845e-27	20.1062	-5.22707	6.3714	3.2394
0.33	2.97785e-23	1.38966e-22	1.65	-1.61559e-27	5.65455e-27	20.7346	-5.45269	6.42915	3.25547
0.34	-9.5953e-23	2.44845e-22	1.7	-3.99858e-26	-1.77715e-26	21.3629	-5.67856	6.47966	3.26672
0.35	-9.09899e-24	1.2904e-22	1.75	-3.37254e-26	-8.88573e-27	21.9912	-5.90462	6.52302	3.27314
0.36	2.31611e-23	-9.92617e-23	1.8	1.04003e-26	-5.25066e-27	22.6195	-6.13083	6.55927	3.27473
0.37	-1.62127e-22	2.31611e-22	1.85	4.55394e-26	-6.86625e-27	23.2478	-6.35716	6.58844	3.27146
0.38	-4.79765e-23	1.32349e-23	1.9	-2.52435e-28	-1.21169e-27	23.8762	-6.58355	6.61053	3.2633
0.39	-2.48154e-23	1.8198e-22	1.95	6.62896e-26	0	24.5045	-6.81	6.62553	3.25018
0.4	5.45939e-23	3.30872e-23	2	-1.12081e-26	4.44286e-27	25.1328	-7.03646	6.63337	3.23205
0.41	-1.65436e-22	2.38228e-22	2.05	1.35305e-26	-3.63507e-27	25.7611	-7.2629	6.63397	3.20881
0.42	6.28657e-23	-2.38228e-22	2.1	5.04871e-27	1.41364e-26	26.3894	-7.48929	6.62723	3.18038
0.43	-1.95215e-22	-1.91906e-22	2.15	-2.26182e-26	1.81754e-26	27.0178	-7.71558	6.613	3.14662
0.44	-4.1359e-22	4.00355e-22	2.2	-4.28131e-26	-8.07794e-27	27.6461	-7.9417	6.59112	3.10742
0.45	-1.85288e-22	6.61744e-23	2.25	3.55429e-26	2.58494e-26	28.2744	-8.16758	6.56138	3.06261
0.46	-8.60268e-23	1.32349e-23	2.3	-2.42338e-26	-1.29247e-26	28.9027	-8.39311	6.52353	3.01205
