# Time	Qx	Qy	Qz	Mx	My	Mz	Wx	Wy	Wz
0	0	0	0	0	0	0	0	0	0
0.1	2.54013e-28	-3.47099e-28	3.58732e-43	-1.82169e-43	-4.52619e-43	2.094	-765.936	719.795	1e-15
0.2	6.81576e-28	3.78653e-29	3.80256e-41	-3.76669e-42	1.34525e-43	4.188	-1189.29	137.661	1e-15
0.3	-1.51461e-28	-7.32063e-28	-3.90121e-42	-6.02558e-44	-9.52883e-44	6.282	-873.92	91.4654	1e-15
0.4	6.71671e-22	3.70577e-22	-3.40796e-42	-1.56945e-43	8.18358e-43	8.376	-1058.31	180.032	1e-15
0.5	-7.27143e-23	-1.50547e-22	-1.08965e-41	-1.68156e-44	-2.32966e-43	10.47	-1000.19	0.000223532	1e-15
0.6	-1.61498e-24	-5.16988e-26	0.002	9.92617e-24	-2.5229e-23	10.47	-999.498	0.0015864	-15.1324
0.7	-5.97929e-24	4.1359e-25	0.004	-1.65436e-24	-6.41065e-24	10.47	-997.443	0.0411186	-30.0939
0.8	2.32645e-25	-1.44757e-24	0.006	0	4.96308e-24	10.47	-994.085	0.220244	-44.6573
0.9	1.44757e-24	0	0.008	8.6854e-24	2.06795e-25	10.47	-989.546	0.689926	-58.5004
1	-2.68834e-24	8.27181e-24	0.01	1.00813e-23	-1.613e-23	10.47	-984.027	1.62004	-71.2025
