# Time	Qx	Qy	Qz	Mx	My	Mz	Wx	Wy	Wz
0	0	0	0	0	0	0	0	0	0
0.001	-0.0283462	-0.0163763	2.99982	-2.64436e-24	-4.9396e-25	8.89744e-27	-0.00204533	-0.00145621	0.563262
0.002	-0.113377	-0.0654998	5.99857	1.34231e-23	1.24651e-24	3.80928e-26	-0.0081809	-0.00582457	1.12646
0.003	-0.25507	-0.147355	8.99518	-3.58496e-23	-3.12515e-23	-2.85761e-25	-0.0184055	-0.0131042	1.68953
0.004	-0.453386	-0.261915	11.9886	7.39352e-23	2.67072e-23	7.8492e-25	-0.0327171	-0.0232938	2.25241
0.005	-0.708271	-0.409143	14.9777	7.06506e-24	-1.60667e-23	1.27464e-25	-0.0511127	-0.0363912	2.81504
0.006	-1.01966	-0.588993	17.9614	-1.1347e-23	-8.30795e-24	-9.24388e-25	-0.0735889	-0.052394	3.37735
0.007	-1.38746	-0.801406	20.9388	1.22776e-22	4.39271e-23	7.72717e-25	-0.100141	-0.0712992	3.93928
0.008	-1.81157	-1.04631	23.9086	-4.47264e-23	-5.51735e-23	-2.71274e-24	-0.130764	-0.0931029	4.50077
0.009	-2.29189	-1.32364	26.87	-5.4126e-23	-3.58019e-23	-1.86416e-24	-0.165451	-0.117801	5.06175
0.01	-2.82828	-1.63329	29.8217	-1.67332e-23	-4.76978e-24	-8.44568e-25	-0.204196	-0.145389	5.62216
0.011	-3.42059	-1.97517	32.7628	-5.15536e-23	1.82822e-23	-2.50079e-24	-0.246991	-0.175861	6.18194
0.012	-4.06866	-2.34917	35.6921	9.37512e-23	4.46654e-23	2.30848e-26	-0.293827	-0.209211	6.74102
0.013	-4.77233	-2.75517	38.6087	-4.7465e-23	8.70186e-23	1.23631e-24	-0.344695	-0.245434	7.29935
0.014	-5.53139	-3.19304	41.5115	-4.75703e-23	5.74535e-24	-6.33911e-24	-0.399586	-0.284521	7.85686
0.015	-6.34565	-3.66263	44.3995	-4.64894e-23	-1.30527e-25	-4.25757e-24	-0.458487	-0.326466	8.41349
0.016	-7.21488	-4.16381	47.2716	2.74479e-23	-8.34084e-23	9.72567e-24	-0.521388	-0.371261	8.96917
0.017	-8.13886	-4.6964	50.1269	-4.3316e-23	1.43857e-23	-1.86818e-24	-0.588276	-0.418896	9.52385
0.018	-9.11732	-5.26025	52.9642	-1.09117e-22	3.48588e-23	-1.11485e-23	-0.659137	-0.469363	10.0775
0.019	-10.15	-5.85516	55.7826	-5.05682e-23	1.0526e-22	-3.38771e-24	-0.733958	-0.522652	10.63
0.02	-11.2366	-6.48095	58.581	-1.00086e-22	-1.15518e-22	-1.0851e-23	-0.812724	-0.578753	11.1813
0.021	-12.3769	-7.13742	61.3585	2.67773e-23	-2.15963e-22	3.37221e-24	-0.895419	-0.637655	11.7313
0.022	-13.5706	-7.82437	64.1141	-2.10741e-22	-1.62702e-22	-1.52121e-23	-0.982028	-0.699346	12.2801
0.023	-14.8173	-8.54156	66.8468	-1.38549e-22	-1.4285e-23	-1.29046e-23	-1.07253	-0.763816	12.8275
0.024	-16.1166	-9.28878	69.5555	-7.69424e-23	2.09081e-22	-3.05715e-23	-1.16692	-0.831052	13.3735
0.025	-17.4684	-10.0658	72.2394	5.47045e-23	4.6519e-25	2.72691e-23	-1.26516	-0.901041	13.9179
0.026	-18.8721	-10.8723	74.8975	-1.42487e-22	-1.52324e-22	-3.07568e-23	-1.36724	-0.973769	14.4609
0.027	-20.3274	-11.7082	77.5288	-4.40745e-24	1.90639e-22	7.72517e-24	-1.47314	-1.04922	15.0022
0.028	-21.834	-12.5731	80.1324	-2.51702e-22	6.9355e-23	2.51401e-23	-1.58285	-1.12739	15.5419
0.029	-23.3914	-13.4667	82.7073	1.46543e-22	1.16155e-22	-1.92333e-24	-1.69633	-1.20825	16.0799
0.03	-24.9992	-14.3888	85.2526	5.30423e-22	1.45685e-22	5.24097e-23	-1.81357	-1.2918	16.6161
0.031	-26.6571	-15.339	87.7674	-2.33311e-22	-6.18102e-23	-3.52532e-23	-1.93454	-1.37801	17.1505
0.032	-28.3644	-16.3172	90.2508	1.86608e-22	5.93988e-22	4.57246e-23	-2.05923	-1.46687	17.683
0.033	-30.1209	-17.3229	92.7019	1.113e-22	2.60652e-22	5.76906e-23	-2.1876	-1.55837	18.2136
0.034	-31.926	-18.3559	95.1199	3.83284e-22	4.25112e-22	3.9519e-23	-2.31963	-1.65248	18.7422
0.035	-33.7793	-19.4158	97.5038	-4.80156e-22	-5.60727e-22	-4.05063e-23	-2.4553	-1.74919	19.2688
0.036	-35.6803	-20.5023	99.8528	-8.26761e-23	2.70243e-23	4.13921e-25	-2.59457	-1.84848	19.7932
0.037	-37.6285	-21.6151	102.166	-3.46321e-22	-8.95111e-23	-5.68631e-23	-2.73744	-1.95034	20.3155
0.038	-39.6233	-22.7538	104.443	2.69522e-22	7.12451e-22	3.49485e-23	-2.88386	-2.05473	20.8356
0.039	-41.6644	-23.9181	106.682	3.27541e-22	3.98698e-22	9.72689e-23	-3.0338	-2.16166	21.3535
0.04	-43.751	-25.1075	108.883	-5.03932e-23	3.33523e-22	-8.49353e-23	-3.18725	-2.27108	21.8691
0.041	-45.8828	-26.3219	111.045	-4.24767e-23	3.11704e-22	9.95084e-23	-3.34417	-2.383	22.3823
0.042	-48.0591	-27.5606	113.167	3.48209e-22	4.07091e-22	-1.4784e-23	-3.50453	-2.49737	22.8931
0.043	-50.2794	-28.8235	115.248	2.64789e-22	5.64596e-23	8.58136e-23	-3.6683	-2.61419	23.4015
0.044	-52.5431	-30.1101	117.289	7.04158e-23	6.5106e-23	-1.13787e-22	-3.83545	-2.73344	23.9073
0.045	-54.8496	-31.4199	119.287	-2.13383e-22	5.0569e-22	-1.13181e-22	-4.00596	-2.85508	24.4107
0.046	-57.1984	-32.7527	121.242	-4.89048e-24	-1.46003e-22	9.37408e-23	-4.17978	-2.97911	24.9114
0.047	-59.5889	-34.1079	123.154	-1.53192e-22	-2.51353e-22	-4.14013e-23	-4.35688	-3.10549	25.4095
0.048	-62.0204	-35.4852	125.021	7.65744e-22	8.68532e-22	1.14385e-22	-4.53724	-3.2342	25.9049
0.049	-64.4923	-36.8842	126.844	-5.92325e-23	-6.7249e-22	2.58941e-23	-4.72082	-3.36523	26.3976
0.05	-67.0041	-38.3044	128.62	2.45457e-22	-2.16891e-22	-2.20243e-23	-4.90758	-3.49854	26.8876
0.051	-69.555	-39.7454	130.351	3.00085e-22	1.22575e-21	1.25427e-22	-5.0975	-3.63412	27.3747
0.052	-72.1444	-41.2068	132.035	-6.08604e-22	-5.62177e-22	-1.64385e-22	-5.29053	-3.77194	27.8589
0.053	-74.7718	-42.6881	133.671	-3.48523e-22	1.62551e-22	-8.62388e-23	-5.48664	-3.91198	28.3403
0.054	-77.4364	-44.1889	135.259	4.4386e-22	1.36134e-21	1.68969e-22	-5.6858	-4.0542	28.8187
0.055	-80.1376	-45.7087	136.798	5.72647e-24	3.27482e-23	4.1851e-23	-5.88797	-4.1986	29.2942
0.056	-82.8747	-47.2471	138.288	-4.60051e-22	-4.24044e-22	-1.33036e-22	-6.09311	-4.34513	29.7666
0.057	-85.647	-48.8036	139.728	3.45095e-22	5.40184e-22	2.02117e-22	-6.30119	-4.49379	30.236
0.058	-88.4539	-50.3778	141.117	2.33637e-22	9.97539e-22	1.66195e-22	-6.51217	-4.64453	30.7023
0.059	-91.2947	-51.9692	142.455	-9.2904e-22	-1.56289e-21	-3.03157e-22	-6.72601	-4.79734	31.1655
0.06	-94.1686	-53.5773	143.742	-1.06661e-21	-2.29792e-21	-3.78962e-22	-6.94268	-4.95219	31.6255
0.061	-97.0751	-55.2016	144.977	-6.18523e-23	3.17938e-22	5.59942e-23	-7.16214	-5.10905	32.0823
0.062	-100.013	-56.8417	146.159	3.15223e-22	-7.85669e-22	1.05736e-22	-7.38434	-5.2679	32.5358
0.063	-102.983	-58.4971	147.288	-5.47821e-24	-4.46635e-22	2.14832e-22	-7.60925	-5.42871	32.9861
0.064	-105.982	-60.1672	148.363	-1.56574e-22	9.96025e-22	2.12068e-23	-7.83683	-5.59145	33.4331
0.065	-109.012	-61.8517	149.385	1.04246e-21	6.42671e-22	1.89895e-22	-8.06704	-5.7561	33.8768
