Time,Qx,Qy,Qz,Mx,My,Mz,Wx,Wy,Wz
0,0,0,0,0,0,0,0,0,0
0.01,-2.82824,-1.63449,29.8216,-9.43505E-19,1.28395E-19,-5.25711E-20,-0.204257,-0.145587,5.62689
0.02,-11.2366,-6.48577,58.5805,-1.9264E-18,6.61626E-21,-1.71325E-19,-0.812989,-0.579558,11.1908
0.03,-24.9996,-14.3997,85.2506,2.14616E-18,-2.7649E-20,6.92639E-20,-1.81424,-1.29366,16.6307
0.04,-43.7527,-25.1273,108.878,-5.77519E-19,8.36507E-19,8.70426E-19,-3.18862,-2.27452,21.8889
0.05,-67.0082,-38.3355,128.609,-1.19435E-18,-4.25983E-20,-4.95486E-19,-4.91005,-3.50415,26.9129
0.06,-94.1769,-53.6222,143.72,2.42214E-18,1.36371E-18,1.2363E-18,-6.94677,-4.96063,31.6565
0.07,-124.592,-70.5325,153.63,6.29162E-18,3.45134E-18,5.67681E-19,-9.26248,-6.61895,36.0807
0.08,-157.534,-88.5768,157.915,-4.98787E-18,-5.97959E-18,-1.44202E-18,-11.8176,-8.45186,40.1546
0.09,-192.262,-107.25,156.311,3.80414E-19,1.37238E-18,2.12519E-18,-14.5706,-10.4307,43.8554
0.1,-228.031,-126.046,148.709,6.97548E-18,1.10271E-18,5.30097E-19,-17.4791,-12.5265,47.1684
0.11,-264.124,-144.478,135.147,-5.919E-18,-2.89549E-18,-3.86745E-18,-20.5013,-14.7103,50.0867
0.12,-299.865,-162.087,115.795,-3.73518E-18,-3.48682E-18,-1.94824E-18,-23.5968,-16.9545,52.6109
0.13,-334.638,-178.458,90.9391,2.64195E-18,-7.15208E-18,-3.85315E-18,-26.7272,-19.2329,54.7477
0.14,-367.899,-193.222,60.9566,4.69868E-18,-8.1374E-19,-8.48589E-19,-29.8576,-21.5213,56.5095
0.15,-399.18,-206.066,26.3001,-1.11503E-17,-4.44712E-18,-5.43387E-18,-32.956,-23.798,57.9134
0.16,-428.101,-216.732,-12.5259,3.52949E-20,3.15352E-18,-1.35444E-18,-35.9944,-26.0439,58.9801
0.17,-454.36,-225.019,-54.9843,-6.69534E-18,-3.83509E-20,3.81267E-20,-38.9486,-28.2426,59.733
0.18,-477.739,-230.782,-100.523,4.61791E-18,2.51856E-18,-1.84252E-19,-41.7985,-30.3802,60.1972
