# Time	Qx	Qy	Qz	Mx	My	Mz	Wx	Wy	Wz
0	0	0	0	0	0	0	0	0	0
0.01	-2.82844	-1.62703	29.822	-5.61709e-19	-5.61687e-19	-2.99217e-20	-0.203872	-0.144354	5.59728
0.02	-11.2367	-6.4557	58.5838	-1.41983e-19	-6.34521e-21	1.16549e-19	-0.81132	-0.574536	11.131
0.03	-24.997	-14.3313	85.2629	-2.62109e-20	4.7035e-20	-1.1551e-23	-1.81002	-1.28204	16.5394
0.04	-43.7422	-25.0041	108.91	3.49706e-21	1.54183e-20	4.19739e-22	-3.18001	-2.25308	21.7648
0.05	-66.9818	-38.1413	128.681	2.3342e-21	2.57477e-20	4.91632e-23	-4.89455	-3.46922	26.7545
0.06	-94.1245	-53.3418	143.858	5.24742e-20	6.33061e-20	-1.68187e-21	-6.92115	-4.90807	31.4627
0.07	-124.503	-70.1536	153.875	-2.14648e-20	2.53437e-19	2.84444e-22	-9.22289	-6.5442	35.8512
0.08	-157.402	-88.0922	158.317	-4.66234e-20	3.10702e-19	-3.01968e-22	-11.7597	-8.35004	39.8898
0.09	-192.083	-106.659	156.933	-2.06544e-20	7.18691e-20	-7.38229e-21	-14.4898	-10.2969	43.5572
0.1	-227.811	-125.36	149.624	-3.10256e-19	-1.3741e-19	5.84695e-21	-17.3708	-12.3556	46.8397
0.11	-263.877	-143.718	136.433	7.21956e-20	-9.52986e-21	-4.48385e-21	-20.3611	-14.4978	49.7321
0.12	-299.619	-161.287	117.536	5.64755e-19	-6.76997e-19	-1.03133e-20	-23.4207	-16.6962	52.2359
0.13	-334.433	-177.666	93.215	-3.08955e-19	6.10748e-19	2.95535e-21	-26.5124	-18.9251	54.3591
0.14	-367.788	-192.5	63.8436	-6.47677e-20	-2.83447e-19	-1.4825e-21	-29.6017	-21.1614	56.1149
0.15	-399.229	-205.487	29.8637	6.70066e-20	-1.24703e-19	-1.01857e-20	-32.658	-23.384	57.521
0.16	-428.382	-216.381	-8.23406	1.76026e-19	-5.41926e-19	-8.6021e-21	-35.6544	-25.5749	58.5985
0.17	-454.957	-224.991	-49.9297	4.09583e-19	-6.87378e-19	-1.88624e-20	-38.5677	-27.7184	59.3707
0.18	-478.739	-231.177	-94.6906	-3.01437e-22	3.8424e-20	-8.03394e-21	-41.3789	-29.8017	59.8626
0.19	-499.586	-234.848	-141.986	3.30131e-19	-4.08915e-19	-3.31303e-21	-44.0724	-31.8144	60.1
0.2	-517.424	-235.959	-191.301	-3.26923e-19	-2.33981e-20	5.05247e-22	-46.636	-33.7485	60.1088
