# Time Moment
0 0
0.01 -5.96903e-11
0.02 0.00597165
0.03 0.00689335
0.04 0.00781691
0.05 0.00874059
0.06 0.00966769
0.07 0.0105969
0.08 0.01153
0.09 0.0124676
0.1 0.0134097
0.11 0.0143551
0.12 0.015305
0.13 0.0162594
0.14 0.0172185
0.15 0.0181821
0.16 0.0191505
0.17 0.0201236
0.18 0.0211014
0.19 0.022084
0.2 0.0230714
0.21 0.0240635
0.22 0.0250606
0.23 0.0260627
0.24 0.0270699
0.25 0.0280823
0.26 0.0291
0.27 0.030123
0.28 0.0311515
0.29 0.0321854
0.3 0.033225
0.31 0.0342702
0.32 0.0353212
0.33 0.0363782
0.34 0.0374411
0.35 0.0385101
0.36 0.0395853
0.37 0.0406668
0.38 0.0417547
0.39 0.0428492
0.4 0.0439502
0.41 0.045058
0.42 0.0461726
0.43 0.0472941
0.44 0.0484226
0.45 0.0495582
0.46 0.0507011
0.47 0.0518512
0.48 0.0530087
0.49 0.0541736
0.5 0.0553461
0.51 0.0565262
0.52 0.057714
0.53 0.0589096
0.54 0.060113
0.55 0.0613243
0.56 0.0625435
0.57 0.0637707
0.58 0.065006
0.59 0.0662494
0.6 0.0675009
0.61 0.0687606
0.62 0.0700285
0.63 0.0713046
0.64 0.072589
0.65 0.0738816
0.66 0.0751826
0.67 0.0764919
0.68 0.0778096
0.69 0.0791356
0.7 0.08047
0.71 0.0818126
0.72 0.0831636
0.73 0.0845229
0.74 0.0858904
0.75 0.0872661
0.76 0.08865
0.77 0.0900419
0.78 0.091442
0.79 0.09285
0.8 0.0942661
0.81 0.09569
0.82 0.0971219
0.83 0.0985617
0.84 0.100009
0.85 0.101465
0.86 0.102928
0.87 0.104399
0.88 0.105877
0.89 0.107363
0.9 0.108857
0.91 0.110358
0.92 0.111867
0.93 0.113383
0.94 0.114907
0.95 0.116438
0.96 0.117977
0.97 0.119523
0.98 0.121076
0.99 0.122637
1 0.124204
