# Time Moment
0 0
0.01 5.96903e-11
0.02 0.0160393
0.03 0.0170101
0.04 0.0179966
0.05 0.0189894
0.06 0.0199894
0.07 0.0210044
0.08 0.0220298
0.09 0.0230728
0.1 0.0241335
0.11 0.0252059
0.12 0.0262961
0.13 0.0274047
0.14 0.0285319
0.15 0.0296778
0.16 0.0308423
0.17 0.0320231
0.18 0.0332235
0.19 0.0344438
0.2 0.0356843
0.21 0.0369455
0.22 0.0382275
0.23 0.0395309
0.24 0.0408559
0.25 0.042203
0.26 0.0435726
0.27 0.0449651
0.28 0.0463803
0.29 0.0478181
0.3 0.04928
0.31 0.0507667
0.32 0.0522784
0.33 0.0538159
0.34 0.0553794
0.35 0.0569697
0.36 0.0585871
0.37 0.0602322
0.38 0.0619055
0.39 0.0636074
0.4 0.0653385
0.41 0.0670993
0.42 0.0688903
0.43 0.0707121
0.44 0.0725651
0.45 0.0744497
0.46 0.0763665
0.47 0.078316
0.48 0.0802984
0.49 0.0823144
0.5 0.0843642
0.51 0.0864483
0.52 0.088567
0.53 0.0907207
0.54 0.0929097
0.55 0.0951343
0.56 0.0973947
0.57 0.0996912
0.58 0.102024
0.59 0.104393
0.6 0.106799
0.61 0.109241
0.62 0.11172
0.63 0.114236
0.64 0.11679
0.65 0.119381
0.66 0.122011
0.67 0.124678
0.68 0.127383
0.69 0.130126
0.7 0.132907
0.71 0.135726
0.72 0.138583
0.73 0.141478
0.74 0.14441
0.75 0.14738
0.76 0.150387
0.77 0.153431
0.78 0.156512
0.79 0.159629
0.8 0.162783
0.81 0.165972
0.82 0.169196
0.83 0.172454
0.84 0.175747
0.85 0.179072
0.86 0.18243
0.87 0.185819
0.88 0.189239
0.89 0.192688
0.9 0.196163
0.91 0.199664
0.92 0.203189
0.93 0.206739
0.94 0.210308
0.95 0.2139
0.96 0.217508
0.97 0.221131
0.98 0.224763
0.99 0.2284
1 0.23204
