# Time Dx Dy Dz magD
0.001 0.000867471 0.000867471 -1.27172e-06 0.00122679
0.002 0.00196287 0.00196287 -8.34589e-06 0.00277593
0.003 0.00337675 0.00337675 -2.78218e-05 0.00477553
0.004 0.00510271 0.00510271 -6.46094e-05 0.00721662
0.005 0.00709117 0.00709117 -0.000121106 0.0100292
0.006 0.0093006 0.0093006 -0.000199204 0.0131545
0.007 0.0117007 0.0117007 -0.000301653 0.01655
0.008 0.014269 0.014269 -0.000431747 0.0201841
0.009 0.0169944 0.0169944 -0.000592816 0.024041
0.01 0.0198743 0.0198743 -0.000787857 0.0281175
0.011 0.0229069 0.0229069 -0.00101921 0.0324113
0.012 0.0260852 0.0260852 -0.00128849 0.0369126
0.013 0.0293985 0.0293985 -0.00159697 0.0416064
0.014 0.0328364 0.0328364 -0.00194602 0.0464784
0.015 0.036392 0.036392 -0.00233738 0.0515191
0.016 0.040062 0.040062 -0.00277313 0.0567241
0.017 0.0438445 0.0438445 -0.00325537 0.0620909
0.018 0.0477368 0.0477368 -0.00378592 0.0676161
0.019 0.0517349 0.0517349 -0.00436605 0.0732943
0.02 0.0558336 0.0558336 -0.00499673 0.0791186
0.021 0.0600284 0.0600284 -0.00567886 0.0850827
0.022 0.0643159 0.0643159 -0.00641364 0.0911822
0.023 0.0686937 0.0686937 -0.00720247 0.0974143
0.024 0.07316 0.07316 -0.00804675 0.103776
0.025 0.0777121 0.0777121 -0.00894767 0.110265
0.026 0.0823471 0.0823471 -0.00990613 0.116877
0.027 0.0870621 0.0870621 -0.0109229 0.123608
0.028 0.0918542 0.0918542 -0.011999 0.130454
0.029 0.0967212 0.0967212 -0.0131355 0.137414
0.03 0.101661 0.101661 -0.0143337 0.144483
0.031 0.106671 0.106671 -0.0155951 0.15166
0.032 0.11175 0.11175 -0.0169214 0.158942
0.033 0.116895 0.116895 -0.0183145 0.166326
0.034 0.122102 0.122102 -0.0197767 0.173808
0.035 0.127371 0.127371 -0.0213107 0.181386
0.036 0.132697 0.132697 -0.0229195 0.189056
0.037 0.138079 0.138079 -0.024606 0.196817
0.038 0.143513 0.143513 -0.0263731 0.204664
0.039 0.148998 0.148998 -0.0282231 0.212596
0.04 0.15453 0.15453 -0.0301576 0.22061
0.041 0.160108 0.160108 -0.0321772 0.228702
0.042 0.165731 0.165731 -0.0342817 0.236873
0.043 0.171396 0.171396 -0.0364698 0.245119
0.044 0.177103 0.177103 -0.03874 0.25344
0.045 0.182852 0.182852 -0.0410901 0.261836
0.046 0.188641 0.188641 -0.0435178 0.270305
0.047 0.194472 0.194472 -0.0460208 0.278848
0.048 0.200344 0.200344 -0.0485974 0.287466
0.049 0.206257 0.206257 -0.0512458 0.296159
0.05 0.212213 0.212213 -0.0539649 0.304928
0.051 0.218213 0.218213 -0.056754 0.313774
0.052 0.224254 0.224254 -0.059613 0.322697
0.053 0.230335 0.230335 -0.0625421 0.331693
0.054 0.236452 0.236452 -0.0655416 0.340756
0.055 0.242595 0.242595 -0.0686114 0.349875
0.056 0.248755 0.248755 -0.0717499 0.359035
0.057 0.254916 0.254916 -0.0749539 0.368215
0.058 0.261062 0.261062 -0.0782176 0.377392
0.059 0.267176 0.267176 -0.0815342 0.38654
0.06 0.273245 0.273245 -0.0848968 0.395643
0.061 0.279264 0.279264 -0.0883015 0.404689
0.062 0.285236 0.285236 -0.0917507 0.413687
0.063 0.291177 0.291177 -0.0952557 0.422661
0.064 0.297118 0.297118 -0.098838 0.431656
0.065 0.303097 0.303097 -0.102528 0.440736
0.066 0.309164 0.309164 -0.106363 0.449975
0.067 0.315365 0.315365 -0.11038 0.45945
0.068 0.321744 0.321744 -0.11461 0.469227
0.069 0.328331 0.328331 -0.119073 0.479354
0.07 0.335138 0.335138 -0.123774 0.489851
0.071 0.342157 0.342157 -0.128704 0.500707
0.072 0.349365 0.349365 -0.133834 0.511882
0.073 0.356724 0.356724 -0.139126 0.523316
0.074 0.36419 0.36419 -0.144533 0.534938
0.075 0.371719 0.371719 -0.150008 0.546673
0.076 0.379272 0.379272 -0.155503 0.558458
0.077 0.386819 0.386819 -0.16098 0.570239
0.078 0.394338 0.394338 -0.166407 0.581976
0.079 0.401814 0.401814 -0.17176 0.593642
0.08 0.409238 0.409238 -0.177022 0.605218
0.081 0.416604 0.416604 -0.182179 0.61669
0.082 0.423908 0.423908 -0.187217 0.628049
0.083 0.431146 0.431146 -0.192124 0.639285
0.084 0.438316 0.438316 -0.196888 0.65039
0.085 0.445418 0.445418 -0.201497 0.661359
0.086 0.452453 0.452453 -0.20594 0.67219
0.087 0.459424 0.459424 -0.21021 0.682882
0.088 0.466335 0.466335 -0.214299 0.693441
0.089 0.473193 0.473193 -0.218204 0.703872
0.09 0.480005 0.480005 -0.221922 0.714184
0.091 0.486778 0.486778 -0.225455 0.724386
0.092 0.493521 0.493521 -0.228803 0.73449
0.093 0.50024 0.50024 -0.23197 0.744507
0.094 0.506941 0.506941 -0.234963 0.754445
0.095 0.513631 0.513631 -0.237791 0.764315
0.096 0.520311 0.520311 -0.240466 0.774126
0.097 0.526986 0.526986 -0.243 0.783886
0.098 0.533655 0.533655 -0.245411 0.7936
0.099 0.540318 0.540318 -0.247715 0.803275
0.1 0.546974 0.546974 -0.249932 0.812912
0.101 0.553619 0.553619 -0.252081 0.822516
0.102 0.560249 0.560249 -0.254183 0.832086
0.103 0.56686 0.56686 -0.256259 0.841623
0.104 0.573446 0.573446 -0.258328 0.851124
0.105 0.580001 0.580001 -0.260408 0.860589
0.106 0.58652 0.58652 -0.262519 0.870015
0.107 0.592998 0.592998 -0.264675 0.879402
0.108 0.599434 0.599434 -0.26689 0.888748
0.109 0.605826 0.605826 -0.269173 0.898057
0.11 0.612176 0.612176 -0.271533 0.907331
0.111 0.618488 0.618488 -0.273973 0.916578
0.112 0.624768 0.624768 -0.276498 0.925808
0.113 0.631025 0.631025 -0.27911 0.935033
0.114 0.637268 0.637268 -0.281811 0.944266
0.115 0.643508 0.643508 -0.284606 0.953523
0.116 0.649755 0.649755 -0.287502 0.962819
0.117 0.656018 0.656018 -0.290507 0.972169
0.118 0.662303 0.662303 -0.293635 0.981587
0.119 0.668617 0.668617 -0.2969 0.991084
0.12 0.67496 0.67496 -0.300315 1.00067
0.121 0.68133 0.68133 -0.303892 1.01033
0.122 0.687722 0.687722 -0.307642 1.02008
0.123 0.694126 0.694126 -0.311566 1.0299
0.124 0.70053 0.70053 -0.315659 1.03977
0.125 0.706921 0.706921 -0.319911 1.04967
0.126 0.713282 0.713282 -0.324301 1.05958
0.127 0.719603 0.719603 -0.328804 1.06947
0.128 0.725874 0.725874 -0.333395 1.07932
0.129 0.732091 0.732091 -0.338049 1.08912
0.13 0.73826 0.73826 -0.342749 1.09888
0.131 0.744392 0.744392 -0.347488 1.1086
