Load w_z Load w_x	
0.196983809	-0.685876221 0.267787004 -0.125958661
0.555446781	5.289272904	2.794728602	4.340064604
1.264263491	11.44884168	5.257929886	13.28970888
1.762763322	17.42303958	6.738780444	20.75162997
2.401300014	23.39628624	7.797950893	27.0956184
3.039313529	28.99593746	8.858167694	34.18679772
3.958970294	35.71447256	10.05815977	41.0902281
4.525919027	40.56740849	11.40185093	50.60787539
5.162886189	45.41986881	13.026139	60.49721567
6.010954995	51.01809318	14.78994075	70.01200927
6.859023801	56.61631755	16.55217297	78.40601653
8.058231109	62.95935475	18.59500208	87.17171677
9.607530568	69.30001387	21.26773548	95.74633876
11.29582053	74.89253087	23.93759141	102.2661858
13.5408573	78.05287252	26.81410198	106.3562355
16.48215454	78.40649214	30.38922732	109.3207428
19.27975268	76.14589485	34.45108103	109.8535503
21.51641862	73.3287093  36.69088603	109.2779374
23.82257981	70.13745269	39.6293058	107.5767821
25.84866729	66.94809853	42.70697767	105.3142823
28.22432374	63.38277085	46.20319058	101.9281425
30.87979231	59.62874299	49.13925606	98.54580765
33.67555934	56.06056162	53.05401003	94.03602782
36.05304691	53.80281802	56.75844712	89.34087711
38.2907592	51.73282337	60.60265948	84.45797745
40.87804047	49.2868552	64.51662868	79.38780444
43.8856939	47.02483106	66.75303304	76.38382117
47.24370108	44.94722657	70.10763956	71.87784626
51.30215414	43.05166366	73.32220923	67.37282258
55.64068092	41.15419829	76.95688948	62.86494521
58.7201839	40.19928261	80.24226234	58.91983908
62.2190127	38.68112007	84.22808109	55.15677454
66.55596996	35.66286835	87.72586354	52.8914211
70.6125919	32.45972137	91.78353184	50.43546501
74.10828164	28.69998613	96.26314183	49.28423931
77.04434712	25.31765126	100.8846198	49.43964646
79.97936624	21.18812548	105.0880799	51.09228909
83.89281227	15.74435703	109.7132201	53.86286439
86.96708349	11.05348685	113.7792592	57.3844355
89.34247835	7.301361447	116.5836587	59.98057906
91.71735003	3.175640594	119.9500367	63.88050177
94.23147381	-1.511424665 122.3343255 66.47949902
98.14308872	-8.262777194 125.2800698 70.00867997
100.9365015	-13.51213809 128.3661124 73.72370742
103.172121	-17.07651454 130.0496938 75.95386536
105.2674422	-20.82673748			
108.0616397	-25.5157052			
110.8563604	-29.83107747			
113.5118289	-33.58510533			
116.1670359	-37.52593092			
119.2428767	-41.09601474			
122.7390896	-44.48215454			
125.8164999	-46.93145201			
129.7349161	-48.82606369			
