# Time dispX dispY dispZ
0.01 0 0 0
0.02 0 0 0
0.03 0 0 0
0.04 0 0 0
0.05 0 0 0
0.06 0 0 0
0.065 0 0 0
0.07 0 0 0
0.075 0 0 0
0.08 0 0 0
0.085 0 0 0
0.09 0 0 0
0.095 0 0 0
0.1 0 0 0
0.1033333333 0 0 0
0.1066666667 0 0 0
0.11 0 0 0
0.1133333333 0 0 0
0.1166666667 0 0 0
0.12 0 0 0
0.1233333333 0 0 0
0.1266666667 0 0 0
0.13 0 0 0
0.1333333333 0 0 0
0.1366666667 0 0 0
0.14 0 0 0
0.1425 0 0 0
0.145 0 0 0
0.1475 0 0 0
0.15 0 0 0
0.1525 0 0 0
0.155 0 0 0
0.1575 0 0 0
0.16 0 0 0
0.1625 0 0 0
0.165 0 0 0
0.1675 0 0 0
0.17 0 0 0
0.172 0 0 0
0.174 0 0 0
0.176 0 0 0
0.178 0 0 0
0.18 0 0 0
0.182 0 0 0
0.184 0 0 0
0.186 0 0 0
0.188 0 0 0
0.19 0 0 0
0.192 0 0 0
0.194 0 0 0
0.196 0 0 0
0.198 0 0 0
0.2 0 0 0
0.202 0 0 0
0.204 0 0 0
0.206 0 0 0
0.208 0 0 0
0.21 0 0 0
0.2116666667 0 0 0
0.2133333333 0 0 0
0.215 0 0 0
0.2166666667 0 0 0
0.2183333333 0 0 0
0.22 0 0 0
0.2216666667 0 0 0
0.2233333333 0 0 0
0.225 0 0 0
0.2266666667 0 0 0
0.2283333333 0 0 0
0.23 0 0 0
0.2314285714 0 0 0
0.2328571429 0 0 0
0.2342857143 0 0 0
0.2357142857 0 0 0
0.2371428571 0 0 0
0.2385714286 0 0 0
0.24 0 0 0
0.2411111111 0 0 0
0.2420987654 0 0 0
0.2430864198 0 0 0
0.2440740741 0 0 0
0.2449206349 0 0 0
0.2457671958 0 0 0
0.2466137566 0 0 0
0.2474603175 0 0 0
0.2483068783 0 0 0
0.2491534392 0 0 0
0.25 0 0 0
