# Motion State    
# Angle Units     : radians
# Time            	centreOfRotation	centreOfMass	rotation	velocity	omega
0.01              	(2.6565000014e+00 1.1351631874e-17 -2.4420360034e-04)	(2.6565000014e+00 1.1351631874e-17 -2.4420360034e-04)	(2.8115941195e-14 -8.6029701388e-12 -2.4005901830e-14)	(2.8994132159e-07 2.2703263749e-15 -4.8840720068e-02)	(5.6231882391e-12 -1.7205940278e-09 -4.8011803660e-12)
0.02              	(2.6565000065e+00 -1.6462485599e-14 -1.2209323651e-03)	(2.6565000065e+00 -1.6462485599e-14 -1.2209323651e-03)	(4.1752301397e-15 -1.1676253305e-10 -7.4475180085e-14)	(7.2616226978e-07 -3.2970377726e-12 -1.4650503288e-01)	(-1.0411330450e-11 -1.9911318554e-08 -5.2926752862e-12)
0.03              	(2.6565000148e+00 -9.2510356479e-14 -3.1740016844e-03)	(2.6565000148e+00 -9.2510356479e-14 -3.1740016844e-03)	(-6.6694624900e-13 -6.9522813049e-10 5.8325921953e-14)	(9.3409705788e-07 -1.1912536403e-11 -2.4410883099e-01)	(-1.2381296539e-10 -9.5781800935e-08 3.1852895725e-11)
0.04              	(2.6565000241e+00 -2.5089146063e-13 -6.1026904113e-03)	(2.6565000241e+00 -2.5089146063e-13 -6.1026904113e-03)	(-3.2259031143e-12 -2.7197664047e-09 1.2684842977e-12)	(9.2685261381e-07 -1.9763684428e-11 -3.4162891439e-01)	(-3.8797840813e-10 -3.0912585391e-07 2.1017878021e-10)
0.05              	(2.6565000311e+00 -4.5485769525e-13 -1.0006267926e-02)	(2.6565000311e+00 -4.5485769525e-13 -1.0006267926e-02)	(-9.6536666792e-12 -8.3158218799e-09 5.5789047056e-12)	(4.6923723647e-07 -2.1029562495e-11 -4.3908658845e-01)	(-8.9757430976e-10 -8.1008524113e-07 6.5190530877e-10)
0.06              	(2.6565000287e+00 -5.8847731464e-13 -1.4884246215e-02)	(2.6565000287e+00 -5.8847731464e-13 -1.4884246215e-02)	(-2.2906548377e-11 -2.1778701512e-08 1.5849073644e-11)	(-9.4356093094e-07 -5.6943613823e-12 -5.3650906941e-01)	(-1.7530020603e-09 -1.8824906854e-06 1.4021285242e-09)
0.07              	(2.6564999985e+00 -4.8759649131e-13 -2.0736272686e-02)	(2.6564999985e+00 -4.8759649131e-13 -2.0736272686e-02)	(-4.1171900618e-11 -5.3519020739e-08 3.5647422228e-11)	(-5.7548778630e-06 3.1870430251e-11 -6.3388312650e-01)	(-1.4530362528e-09 -5.0140563140e-06 2.7010893223e-09)
0.08              	(2.6564998960e+00 1.2016781165e-13 -2.7561703799e-02)	(2.6564998960e+00 1.2016781165e-13 -2.7561703799e-02)	(-3.8566924707e-11 -1.3904773846e-07 7.3233350336e-11)	(-1.5322731092e-05 8.5535944398e-11 -7.3120713485e-01)	(2.2737000658e-09 -1.2442995527e-05 4.7983144106e-09)
0.09              	(2.6564996749e+00 7.2239890850e-13 -3.5360464201e-02)	(2.6564996749e+00 7.2239890850e-13 -3.5360464201e-02)	(9.1471714533e-12 -3.0967934292e-07 1.2975093504e-10)	(-2.9472131302e-05 1.3904243897e-11 -8.2854488878e-01)	(7.3272185563e-09 -2.1884850788e-05 6.4928945623e-09)
0.1               	(2.6564992882e+00 1.2321797532e-12 -4.4132576657e-02)	(2.6564992882e+00 1.2321797532e-12 -4.4132576657e-02)	(1.0310966704e-10 -5.8250332388e-07 2.0395526662e-10)	(-4.8500930698e-05 1.4620112510e-10 -9.2587624564e-01)	(1.1121126092e-08 -3.2838899532e-05 8.4200602631e-09)
